Date,Meeting,Time,EW/Win,Jockey,Horse,Odds,SP,Value,Result,Stake,Profit,Running Profit,Best Odds,Running Profit Best Odds
2025-05-29,Limerick,5:10,EW,Conor Stone-Walsh(3),The Mans Room,9.2,9.2,100.0,NR,1.0,0.0,0.0,9.2,0.0
2025-05-29,Sandown,6:35,EW,Hollie Doyle,Eskimo Pie,14.0,14.0,100.0,3,1.0,0.9,0.9,14.0,0.9
2025-05-29,Sandown,7:05,Win,William Buick,Trawlerman,4.2,4.2,100.0,1,1.0,3.2,4.1,4.2,4.1
2025-05-29,Sandown,7:35,Win,Ryan Moore,Ombudsman,3.25,3.25,100.0,2,1.0,-1.0,3.1,3.25,3.1
2025-05-29,Sandown,8:05,EW,Callum Shepherd,Bay City Roller,6.6,6.6,100.0,2,1.0,0.16,3.26,6.6,3.26
2025-05-29_realistic,Limerick,5:10,EW,Conor Stone-Walsh(3),The Mans Room,9.2,9.2,100.0,NR,1.0,0.0,0.0,9.2,0.0
2025-05-29_realistic,Sandown,6:35,EW,Hollie Doyle,Eskimo Pie,14.0,14.0,100.0,NR,1.0,0.0,0.0,14.0,0.0
2025-05-29_realistic,Sandown,7:05,Win,William Buick,Trawlerman,4.2,4.2,100.0,NR,1.0,0.0,0.0,4.2,0.0
2025-05-29_realistic,Sandown,7:35,Win,Ryan Moore,Ombudsman,3.25,3.25,100.0,NR,1.0,0.0,0.0,3.25,0.0
2025-05-29_realistic,Sandown,8:05,EW,Callum Shepherd,Bay City Roller,6.6,6.6,100.0,NR,1.0,0.0,0.0,6.6,0.0
2025-05-30,Carlisle,2:15,EW,Paul Mulrennan,Dandy Style,7.0,7.0,100.0,4,1.0,-0.5,-0.5,7.0,-0.5
2025-05-30,Stratford,7:00,Win,Mr T A Halford,Kings Jet,2.68,2.68,100.0,PU,1.0,-1.0,-1.5,2.68,-1.5
2025-05-30,Down Royal,7:08,Win,Colin Keane,Poetic Sound,3.45,3.45,100.0,NR,1.0,0.0,-1.5,3.45,-1.5
2025-05-31,Haydock,1:13,EW,George Bass,Galyx,24.0,24.0,100.0,7,1.0,-0.5,-0.5,24.0,-0.5
2025-05-31,Haydock,1:48,EW,Tom Eaves,Sergeant Wilko,18.0,18.0,100.0,4,1.0,-0.5,-1.0,18.0,-1.0
2025-05-31,York,2:05,EW,Rowan Scott,Auspicious,26.0,26.0,100.0,10,1.0,-0.5,-1.5,26.0,-1.5
2025-05-31,Haydock,2:23,EW,William Buick,Leovanni,9.0,9.0,100.0,4,1.0,-0.5,-2.0,9.0,-2.0
2025-05-31,York,2:40,EW,Andrew Mullen,Spirit Of Applause,17.0,17.0,100.0,9,1.0,-0.5,-2.5,17.0,-2.5
2025-05-31,Chester,2:45,Win,David Egan,Come On Over,3.65,3.65,100.0,5,1.0,-1.0,-3.5,3.65,-3.5
