Tag,Tips,Profit,Wins,ROI %
⚖️ Light Weight,204,28.18,22,13.81
⚡ Fresh,78,14.34,12,18.38
❗ Confidence 90%+,107,25.14,18,23.5
📈 In Form,117,13.94,20,11.91
🔥 Trainer 100%,9,-1.99,0,-22.11
🔥 Trainer 20%,5,3.28,2,65.6
🔥 Trainer 21%,2,1.5,1,75.0
🔥 Trainer 22%,1,0.28,0,28.0
🔥 Trainer 23%,1,0.0,0,0.0
🔥 Trainer 25%,8,-0.9,0,-11.25
🔥 Trainer 26%,2,-1.0,0,-50.0
🔥 Trainer 27%,6,0.19,1,3.17
🔥 Trainer 28%,1,0.0,0,0.0
🔥 Trainer 29%,4,1.6,1,40.0
🔥 Trainer 30%,3,0.66,1,22.0
🔥 Trainer 31%,6,-1.0,0,-16.67
🔥 Trainer 33%,24,-0.75,1,-3.12
🔥 Trainer 35%,5,3.4,1,68.0
🔥 Trainer 36%,4,-0.35,0,-8.75
🔥 Trainer 37%,1,0.0,0,0.0
🔥 Trainer 38%,10,-1.54,0,-15.4
🔥 Trainer 39%,4,0.0,0,0.0
🔥 Trainer 40%,11,8.87,3,80.64
🔥 Trainer 41%,4,2.5,1,62.5
🔥 Trainer 42%,8,-2.0,0,-25.0
🔥 Trainer 43%,7,-2.0,0,-28.57
🔥 Trainer 44%,15,-0.57,1,-3.8
🔥 Trainer 45%,11,-1.74,0,-15.82
🔥 Trainer 46%,2,0.0,0,0.0
🔥 Trainer 47%,7,0.75,1,10.71
🔥 Trainer 48%,2,2.5,1,125.0
🔥 Trainer 49%,3,0.0,0,0.0
🔥 Trainer 50%,31,16.72,8,53.94
🔥 Trainer 51%,1,-1.0,0,-100.0
🔥 Trainer 52%,3,-0.01,1,-0.33
🔥 Trainer 53%,4,12.2,2,305.0
🔥 Trainer 54%,10,4.1,2,41.0
🔥 Trainer 55%,4,-1.0,0,-25.0
🔥 Trainer 56%,9,6.5,4,72.22
🔥 Trainer 57%,10,0.3,1,3.0
🔥 Trainer 58%,4,-1.0,0,-25.0
🔥 Trainer 59%,8,0.33,1,4.12
🔥 Trainer 60%,11,3.99,2,36.27
🔥 Trainer 61%,4,-2.0,0,-50.0
🔥 Trainer 62%,2,0.0,0,0.0
🔥 Trainer 63%,4,0.95,1,23.75
🔥 Trainer 64%,8,1.19,1,14.88
🔥 Trainer 65%,3,-1.0,0,-33.33
🔥 Trainer 66%,3,0.0,0,0.0
🔥 Trainer 67%,16,8.08,5,50.5
🔥 Trainer 68%,6,-4.0,0,-66.67
🔥 Trainer 69%,2,7.75,1,387.5
🔥 Trainer 70%,3,-1.27,1,-42.33
🔥 Trainer 71%,4,-1.8,0,-45.0
🔥 Trainer 72%,2,-2.0,0,-100.0
🔥 Trainer 73%,5,0.68,1,13.6
🔥 Trainer 74%,2,-2.0,0,-100.0
🔥 Trainer 75%,11,2.76,1,25.09
🔥 Trainer 76%,1,-1.0,0,-100.0
🔥 Trainer 77%,2,1.78,1,89.0
🔥 Trainer 79%,1,-1.0,0,-100.0
🔥 Trainer 80%,2,-1.0,0,-50.0
🔥 Trainer 86%,1,0.0,0,0.0
🔥 Trainer 88%,3,1.56,1,52.0
🚫 Layoff,44,2.42,5,5.5
🟢 Class Drop,48,16.21,11,33.77
🧠 Monster NAP,6,0.0,1,0.0
🪶 Light Weight,4,2.2,1,55.0
