race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
1:45 Redcar,Willowinghurn,4,-1,65.0,128,2,6.0,Class 5,Good To Firm,3780.0,David Omeara,Ben Robinson,42,-1,0.0,14.0,0,0.4,0.8882408738136292,17.5,1:45,redcar,willowinghurn,0.8882408738136292,17.5,0.0,2025-05-19,1.0,2025-05-19,GB,racingtv.com EBF Restricted Maiden Stakes (Band D) (EBF Qualifier) (GBB/IRE Incentive Race) (Div I),Flat,Class 5,,,2yo,,6f,6f,1204.0,Good To Firm,10.0,10.0,1,4.0,0,0,2.0,F,128.0,,1:13.70,73.70,12.0,Ben Robinson,David OMeara,3780,–,–,Ardad (IRE),Fame Game (IRE),Fasliyev,Hurn Racing Club Partner,Made all - ridden briefly over 1f out - soon went clear - pushed out - comfortably(op 9/1 tchd 12/1),9.5,advised
2:15 Redcar,Lope Y Linda,1,-1,73.0,128,2,6.0,Class 5,Good To Firm,3780.0,Tim Easterby,Duran Fentiman,45,-1,-2.0,14.0,0,0.1111111111111111,0.9255899786949158,18.5,2:15,redcar,lope y linda,0.9255899786949158,18.5,0.0,2025-05-19,1.0,2025-05-19,GB,racingtv.com EBF Restricted Maiden Stakes (Band D) (EBF Qualifier) (GBB/IRE Incentive Race) (Div II),Flat,Class 5,,,2yo,,6f,6f,1204.0,Good To Firm,8.0,6.0,5,1.0,9.5,4,2.0,F,128.0,,1:13.48,73.48,17.0,Duran Fentiman,Tim Easterby,,–,–,Lope Y Fernandez (IRE),Dhuma GB,Falco,Mount Pleasant Racing Ptr,Led - headway 3f out - weakened final furlong(op 14/1),0.0,advised
2:45 Redcar,Early Release,3,-1,74.0,135,3,5.0,Class 6,Good To Firm,3664.0,David Evans,Billy Loughnane,50,-1,1.0,14.0,0,0.375,0.9663886427879333,5.9,2:45,redcar,early release,0.9663886427879333,5.9,0.0,2025-05-19,1.0,2025-05-19,GB,Join Racing TV Now Handicap,Flat,Class 6,,0-62,3yo,,5f,5f,1006.0,Good To Firm,8.0,2.0,6,3.0,8.75,1,3.0,G,135.0,,0:59.13,59.13,3.75,Billy Loughnane,David Evans,,62,–,Sergei Prokofiev (CAN),Evening Starlight GB,Kyllachy,G A Racing,In touch with leaders - outpaced from over 2f out(op 2/1),0.0,advised
3:00 Carlisle,Water Of Leith,5,-1,80.0,139,7,5.0,Class 5,Good To Firm,4187.0,Jim Goldie,Paul Mulrennan,65,-1,17.666666666666664,7.0,0,0.7142857142857143,0.9837716221809387,3.35,3:00,carlisle,water of leith,0.9837716221809387,3.35,0.0,2025-05-19,1.0,2025-05-19,GB,pricedup.bet Handicap (A Jockey Club Grassroots Sprint Series Qualifier),Flat,Class 5,,0-70,4yo+,,5f,5f,1006.0,Good To Firm,7.0,1.0,2,5.0,0.1,0.1,7.0,G,139.0,,1:0.47,60.47,3.25,Paul Mulrennan,Jim Goldie,1964.80,74,–,Kodiac (GB),Zakhrafa (IRE),Shamardal,Adam Mills And Jonnie Delta Racing,Took keen hold - in touch with leaders - steady headway on outer from 2f out - led inside final furlong - headed inside final 110yds - soon rallied and kept on - just held(op 2/1),-1.0,advised
3:30 Carlisle,Kats Bob,2,-1,91.0,136,7,6.0,Class 4,Good To Firm,5496.0,Ruth Carr,William Pyle(3),38,-1,70.66666666666666,19.0,2,0.2,0.9898911714553833,12.0,3:30,carlisle,kats bob,0.9898911714553833,12.0,0.0,2025-05-19,1.0,2025-05-19,GB,PricedUp Handicap (A Jockey Club Grassroots Sprint Series Qualifier),Flat,Class 4,,0-80,4yo+,,6f,6f,1172.0,Good To Firm,10.0,2.0,3,2.0,4.25,2.75,7.0,G,133.0,v,1:12.21,72.21,15.0,William Pyle,Ruth Carr,1288.35,81,–,Bobbys Kitten (USA),Dreaming Of Stella (IRE),Giants Causeway,Colin Dorman And Tommy Dorman,Took keen hold - prominent - not clear run 2f out - soon waiting for room then lost ground - switched left and in the clear over 1f out - went third inside final 110yds - kept on (jockey said gelding was continuously denied a clear run in the home straight)(op 11/1),0.0,advised
3:45 Redcar,Rajapour,4,-1,93.0,135,5,8.0,Class 4,Good To Firm,5234.0,David Omeara,David Nolan,42,-1,-3.0,206.0,0,0.6666666666666666,0.9865506887435913,9.8,3:45,redcar,rajapour,0.9865506887435913,9.8,0.0,2025-05-19,1.0,2025-05-19,GB,Marske Fabrication & Engineering Straight Mile Handicap (Marske Straight Mile Qualifier),Flat,Class 4,,0-85,4yo+,,1m,8f,1608.0,Good To Firm,6.0,1.0,4,4.0,4.5,1.75,5.0,G,135.0,,1:36.60,96.60,10.0,David Nolan,David OMeara,614,85,–,Almanzor (FR),Raydara (IRE),Rock Of Gibraltar,Evan M Sutherland,Hampered start - in touch with leaders - weakened inside final furlong(op 10/1 tchd 17/2),0.0,advised
4:00 Carlisle,Billy Bathgate,7,-1,71.0,122,9,14.0,Class 6,Good To Firm,3402.0,Ewan Whillans,P J Mcdonald,50,-1,25.0,17.0,0,0.875,0.9952114224433899,10.5,4:00,carlisle,billy bathgate,0.9952114224433899,10.5,0.0,2025-05-19,1.0,2025-05-19,GB,Download The PricedUp App Handicap,Flat,Class 6,,0-65,4yo+,,1m6f,14f,2846.0,Good To Firm,8.0,7.0,3,7.0,1.5,.75,9.0,G,122.0,,3:7.39,187.39,5.0,P J McDonald,Ewan Whillans,797.55,49,–,New Approach (IRE),Bustling GB,Danehill,T Cox,Held up in rear - steady headway on outer from 3f out - kept on and went third final strides(op 9/2 tchd 7/2),0.0,advised
4:15 Redcar,Muscika,4,-1,78.0,134,11,6.0,Class 5,Good To Firm,3664.0,David Omeara,Ben Robinson,44,-1,-2.0,11.0,0,0.4,0.9661411046981812,16.5,4:15,redcar,muscika,0.9661411046981812,16.5,0.0,2025-05-19,1.0,2025-05-19,GB,Watch Racing TV In Stunning HD Handicap (Div I),Flat,Class 5,,0-68,4yo+,,6f,6f,1204.0,Good To Firm,9.0,2.0,1,4.0,0,0,11.0,G,134.0,p,1:10.28,70.28,11.0,Ben Robinson,David OMeara,3663.80,67,–,Kyllachy (GB),Miss Villefranche GB,Danehill Dancer,Gallop Racing I,Disputed lead - led clearly 3f out - ridden over 1f out - joined towards finish - just held on(op 17/2 tchd 8/1 and tchd 11/1),7.75,advised
4:30 Carlisle,Twisting Physics,11,-1,75.0,148,4,7.0,Class 5,Good To Firm,3780.0,Paul & Oliver Cole,Kevin Stott,50,-1,53.0,182.0,0,1.0,0.9873335361480713,4.0,4:30,carlisle,twisting physics,0.9873335361480713,4.0,0.0,2025-05-19,1.0,2025-05-19,GB,PricedUp Daily Sports Boosts Novice Stakes (GBB Race),Flat,Class 5,,,3yo+,,7f,7f,1385.0,Good To Firm,11.0,1.0,2,11.0,0.2,0.2,4.0,G,148.0,,1:27.40,87.40,4.5,Kevin Stott,Paul & Oliver Cole,1774.50,–,–,Dubawi (IRE),Frangipanni (IRE),Dansili,Mrs Fitri Hay,Soon led - headed after 1f - led again over 2f out - joined inside final furlong - lost position towards finish - kept on(op 2/1),-1.0,advised
4:45 Redcar,Novello Lad,5,-1,80.0,135,4,6.0,Class 5,Good To Firm,3664.0,Paul Midgley,David Nolan,48,-1,16.0,16.0,0,0.5555555555555556,0.9724331498146057,2.82,4:45,redcar,novello lad,0.9724331498146057,2.82,0.0,2025-05-19,1.0,2025-05-19,GB,Watch Racing TV In Stunning HD Handicap (Div II),Flat,Class 5,,0-68,4yo+,,6f,6f,1204.0,Good To Firm,8.0,1.0,3,5.0,1.75,1,4.0,G,135.0,,1:10.70,70.70,2.62,David Nolan,Paul Midgley,858.90,67,–,Mehmas (IRE),Last Frontier (FR),Kendargent,Mrs S Scott Flint,In touch with leaders - going easily but short of room over 1f out - switched left 1f out - kept on(tchd 6/4 and tchd 7/4),-1.0,advised
