Date,Race Time,Course,Horse,Odds,Confidence,Position,Mode,Profit
2025-05-20,03:20,Southwell,El Muchacho,2.36,0.9036847949028015,3,level,-1.0
2025-05-20,03:32,Nottingham,Zaramara,11.5,0.9888849258422852,6,level,-1.0
2025-05-20,03:40,Lingfield,Brasil Power,10.0,0.9828398823738098,2,level,-1.0
2025-05-20,04:02,Nottingham,Ciara Pearl,5.3,0.9873968958854675,1,level,2.18
2025-05-20,04:10,Lingfield,Flickas Girl,0.0,0.9892235994338989,8,level,-1.0
2025-05-20,04:20,Southwell,Klervia,310.0,0.9792856574058533,2,level,30.0
2025-05-20,04:32,Nottingham,Serenity Blue,3.35,0.984916090965271,1,level,2.35
2025-05-20,04:40,Lingfield,Honour Your Dreams,2.02,0.9874560236930847,1,level,1.02
2025-05-20,05:05,Nottingham,Man Of La Mancha,2.0,0.9892534613609314,3,level,-1.0
2025-05-20,05:15,Cork,Baker Blue,5.8,0.812198281288147,3,level,-0.42
2025-05-20,05:25,Southwell,Grandads Cap,2.48,0.8584207892417908,4,level,-1.0
2025-05-20,05:50,Cork,Beauty Queen,10.0,0.9724482297897339,6,level,-1.0
2025-05-20,05:58,Hexham,Dakota Beat,30.0,0.938182532787323,4,level,-1.0
2025-05-20,06:10,Huntingdon,Alvesta,7.8,0.9067538976669312,4,level,-1.0
2025-05-20,06:20,Cork,Nezeeh,0.0,0.9769659638404846,1,level,-1.0
2025-05-20,06:28,Hexham,She Wont Mind,13.0,0.8875389099121094,99,level,-1.0
2025-05-20,06:40,Huntingdon,Velvet Vulcan,8.8,0.9846013784408569,4,level,-1.0
2025-05-20,06:50,Cork,Twotolose,6.6,0.9492378830909729,4,level,-1.0
2025-05-20,06:58,Hexham,Deep Strato,7.2,0.9870556592941284,7,level,-1.0
2025-05-20,07:10,Huntingdon,Jassur Des Brosses,100.0,0.944619357585907,6,level,-1.0
2025-05-20,07:20,Cork,Hightimeyouwon,8.2,0.977929949760437,1,level,3.92
2025-05-20,07:50,Cork,Royal Entry,9.2,0.9547628164291382,1,level,4.52
2025-05-20,07:58,Hexham,Moveonbuy,8.0,0.8068490028381348,4,level,-1.0
2025-05-20,08:20,Cork,Slaney Swagger,110.0,0.9797865152359009,11,level,-1.0
2025-05-20,08:28,Hexham,Benson,4.7,0.9241564869880676,4,level,-1.0
