race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
2:00 Ayr,Le Beau Garcon,2,-1,86.0,135,6,5.0,Class 5,Good To Firm,4187.0,Michael & David Easterby,Joanna Mason,48,-1,15.0,253.0,0,0.3333333333333333,0.9870352149009705,0.993858277797699,"['🔥 Trainer 48%', '🟢 Class Drop', '🚫 Layoff', '❗ Confidence 90%+']","✍️ yard in form, returning from a layoff, down in class, good draw position.",3.5,2:00,ayr,le beau garcon,0.9870352149009705,3.5,0.0,2025-05-21,1.0,2025-05-21,GB,Join Racing TV Now Handicap,Flat,Class 5,,0-75,4yo+,,5f,5f,1006.0,Good To Firm,6.0,1.0,1,2.0,0,0,6.0,G,135.0,,0:58.93,58.93,6.5,Joanna Mason,Michael & David Easterby,4187.20,73,–,Brazen Beau (AUS),Bacall GB,Paco Boy,Bernard Hoggarth Racing,Prominent up the centre - ridden over 2f out - disputing lead inside final 110yds - led final stride(op 5/1 tchd 9/2),2.5,advised
2:22 Chepstow,Triple Gee,2,-1,86.0,133,3,12.0,Class 5,Good,3888.0,Andrew Balding,Oisin Murphy,75,-1,0.0,17.0,0,1.0,0.953594446182251,0.993858277797699,"['🔥 Trainer 75%', '🟢 Class Drop', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, down in class.",4.1,2:22,chepstow,triple gee,0.953594446182251,4.1,0.0,2025-05-21,1.0,2025-05-21,GB,DragonBet - Oncourse And Online Novice Stakes (GBB Race),Flat,Class 5,,,3yo,,1m4f,12f,2414.0,Good,2.0,2.0,2,2.0,2.25,2.25,3.0,G,133.0,,2:37.59,157.59,2.38,Oisin Murphy,Andrew Balding,1825.20,–,–,Masar (IRE),Quenelle GB,Nayef,Opulence Thoroughbreds,Raced in second - ridden over 2f out - no impression final furlong(tchd 5/4),-1.0,advised
2:30 Ayr,Kanishka,5,-1,83.0,133,2,6.0,Class 4,Good To Firm,4860.0,Brian Ellison,Connor Beasley,60,-1,0.0,27.0,0,0.7142857142857143,0.8996034860610962,0.993858277797699,"['🔥 Trainer 60%', '🟢 Class Drop', '⚖️ Light Weight']","✍️ yard in form, down in class.",5.4,2:30,ayr,kanishka,0.8996034860610962,5.4,0.0,2025-05-21,1.0,2025-05-21,GB,Racing TV Profits Returned To Racing Maiden Stakes (GBB Race),Flat,Class 4,,,2yo,,6f,6f,1207.0,Good To Firm,7.0,1.0,2,5.0,2,2,2.0,C,133.0,,1:12.44,72.44,6.0,Connor Beasley,Brian Ellison,2281.50,–,–,Coulsty (IRE),Blushing Rose GB,Dalakhani,C Booth P Boyle S Coleby S Smith,Took keen hold - in touch with leaders - kept on and went second inside final furlong - no match for winner(op 9/2),0.0,advised
2:40 Warwick,Beau Gold,0,-1,86.0,158,5,19.0,Class 4,Good,3812.0,Jonjo & A J Oneill,Kevin Brogan,65,-1,-1.0,130.0,0,0.0,0.9674577116966248,0.993858277797699,"['🔥 Trainer 65%', '🟢 Class Drop', '❗ Confidence 90%+']","✍️ yard in form, down in class.",20.0,2:40,warwick,beau gold,0.9674577116966248,20.0,0.0,2025-05-21,1.0,2025-05-21,GB,Logicor William Eborall Maiden Hurdle (GBB Race),Hurdle,Class 4,,,4yo+,,2m3f,19f,3822.0,Good,6.0,1.0,4,,35,13,5.0,G,158.0,,4:43.00,283.00,101.0,Kevin Brogan,Jonjo & A J ONeill,439.60,–,–,Beaumec De Houelle (FR),Shabby Gold (FR),Irish Wells,Outnumbered Oneill Racing Ii,In touch with leaders - went fourth but outpaced 7th - lost touch before 2 out(op 80/1),0.0,advised
2:52 Chepstow,No Gain,4,-1,65.0,122,3,12.0,Class 6,Good,3454.0,Martin Dunne,Ray Dawson,38,-1,-5.0,29.0,0,0.4444444444444444,0.9921407699584961,0.993858277797699,"['🔥 Trainer 38%', '🟢 Class Drop', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, down in class.",11.0,2:52,chepstow,no gain,0.9921407699584961,11.0,0.0,2025-05-21,1.0,2025-05-21,GB,DragonBet Proud Sponsors Of Chepstow Racecourse Handicap,Flat,Class 6,,0-60,3yo,,1m4f,12f,2414.0,Good,9.0,8.0,4,4.0,8,0.3,3.0,F,122.0,t,2:41.37,161.37,7.5,Ray Dawson,Martin Dunne,405.24,45,–,Territories (IRE),Characterized GB,Oasis Dream,The Poor Sexy Farmers Club,Took keen hold - in touch with leaders - headway halfway - went second but no chance with winner over 1f out - lost two places towards finish (jockey said filly hung right-handed)(op 8/1 tchd 6/1 and tchd 9/1),0.0,advised
3:00 Ayr,Woohoo,4,-1,78.0,124,4,6.0,Class 6,Good To Firm,3664.0,Jim Goldie,Lauren Young(7),73,-1,24.0,5.0,0,0.4444444444444444,0.95256108045578,0.993858277797699,"['🔥 Trainer 73%', '🟢 Class Drop', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, down in class, strong recent form.",2.68,3:00,ayr,woohoo,0.95256108045578,2.68,0.0,2025-05-21,1.0,2025-05-21,GB,Racing TV Handicap,Flat,Class 6,,0-60,4yo+,,6f,6f,1207.0,Good To Firm,9.0,7.0,1,4.0,0,0,4.0,F,117.0,,1:11.53,71.53,2.1,Lauren Young,Jim Goldie,3663.80,49,–,Acclamation (GB),Jamboree Girl GB,Bahamian Bounty,Whit Walk Partnership,Travelled strongly - raced in second - shaken up when led inside final furlong - kept on well - comfortably(op 5/4),1.68,advised
3:22 Chepstow,Italica,4,-1,90.0,133,2,6.0,Class 4,Good,5184.0,Tom Dascombe,Sean Levey,67,-1,6.0,14.0,0,0.5,0.9775148034095764,0.993858277797699,"['🔥 Trainer 67%', '🟢 Class Drop', '⚡ Fresh', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, down in class.",1.7,3:22,chepstow,italica,0.9775148034095764,1.7,0.0,2025-05-21,1.0,2025-05-21,GB,Pricing By Real Bookmakers At DragonBet Maiden Stakes (GBB/IRE Incentive Race),Flat,Class 4,,,2yo,,6f,6f,1222.0,Good,8.0,3.0,1,4.0,0,0,2.0,C,133.0,,1:12.86,72.86,2.38,Sean Levey,Tom Dascombe,5184,–,–,Sergei Prokofiev (CAN),Simmys Temple GB,Royal Applause,Russell Jones Partner,Made all - soon against near rail - pushed along over 1f out - ridden inside final furlong - ran on(op 7/4),0.7,advised
3:30 Ayr,Commanding Prince,2,-1,93.0,137,4,8.0,Class 4,Good To Firm,5234.0,Archie Watson,James Doyle,29,-1,49.0,16.0,0,0.3333333333333333,0.9855636358261108,0.993858277797699,"['🔥 Trainer 29%', '🟢 Class Drop', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, down in class, strong recent form, good draw position.",3.3,3:30,ayr,commanding prince,0.9855636358261108,3.3,0.0,2025-05-21,1.0,2025-05-21,GB,Every Race Live On Racing TV Handicap,Flat,Class 4,,0-80,4yo+,,1m,8f,1609.0,Good To Firm,6.0,1.0,2,2.0,1.5,1.5,4.0,G,137.0,p,1:39.97,99.97,2.75,James Doyle,Archie Watson,2456,82,–,Too Darn Hot (GB),Khawlah (IRE),Cape Cross,J Allison Partner,Took keen hold - prominent - lost ground over 5f out - headway to lead over 1f out - no extra when headed inside final 110yds(tchd 13/8 and tchd 15/8),-1.0,advised
3:40 Warwick,Slievegar,0,-1,,168,9,25.5,Class 5,Good,3961.0,Nigel & Willy Twiston-Davies,Mr Toby Mccain-Mitchell(7),100,-1,0.0,107.0,0,0.0,0.9390681982040405,0.993858277797699,"['🔥 Trainer 100%', '🟢 Class Drop', '❗ Confidence 90%+']","✍️ yard in form, down in class.",6.2,3:40,warwick,slievegar,0.9390681982040405,6.2,0.0,2025-05-21,1.0,2025-05-21,GB,Logicor Chandler Handicap Chase,Chase,Class 5,,0-100,5yo+,,3m1½f,25.5f,5121.0,Good,4.0,1.0,2,,7.5,7.5,9.0,G,161.0,t,6:39.50,399.50,7.0,Mr Toby McCain-Mitchell,Nigel & Willy Twiston-Davies,1974.50,100,–,Westerner (GB),Love Train (IRE),Sadlers Wells,Ms J Mccain,Travelled strongly - in touch with leaders - went second after 14th - led 16th - 3 lengths ahead 2 out - not fluent last - soon headed and found little(Mkt1: op 15/2 tchd 7/1 and tchd 8/1; Mkt2 op 11/2 tchd 5/1),0.0,advised
3:55 Chepstow,Glamorous Breeze,5,-1,93.0,136,7,5.0,Class 4,Good,5339.0,Christopher Mason,Gina Mangan,50,-1,20.0,236.0,0,0.8333333333333334,0.9826802611351013,0.993858277797699,"['🔥 Trainer 50%', '🟢 Class Drop', '🚫 Layoff', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, returning from a layoff, down in class, strong recent form.",6.6,3:55,chepstow,glamorous breeze,0.9826802611351013,6.6,0.0,2025-05-21,1.0,2025-05-21,GB,DragonBet Born From The Betting Ring Handicap,Flat,Class 4,,0-80,4yo+,,5f,5f,1020.0,Good,6.0,1.0,1,5.0,0,0,7.0,M,136.0,p,0:59.24,59.24,8.0,Gina Mangan,Christopher Mason,5338.68,81,–,Cable Bay (IRE),Go Glamorous (IRE),Elnadim,Robert Nina Bailey,Raced in third - pushed along over 1f out - soon pressed leader - ridden to lead final 110yds - ran on(op 15/2 tchd 13/2 and tchd 8/1),2.8,advised
