race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
2:05 Ffos Las,King Roly,0.0,-1,,156,6,19.5,Class 4,Good,4700.0,Mickey Bowen,James Bowen,63,-1,24.0,28.0,0,0.0,0.861030101776123,0.9914271831512451,"['🔥 Trainer 63%', '🟢 Class Drop', '📈 In Form']","✍️ yard in form, down in class, strong recent form.",3.95,2:05,ffos las,king roly,0.861030101776123,3.95,0.0,2025-05-22,1.0,2025-05-22,GB,Francky Du Berlais Novices Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,2m3½f,19.5f,3898.0,Good,3.0,3.0,1,,0,0,6.0,G,156.0,t,4:53.98,293.98,2.25,James Bowen,Mickey Bowen,4700.09,113,–,Scorpion (IRE),Roll On Ruby (IRE),Definite Article,Kit And Roly Partnership,Raced in third - not fluent 1st - chased clear leader 5th - not fluent and pecked on landing 8th - led 3 out - went clear after 2 out - easily(op 11/8),2.95,advised
2:17 Haydock,Fleur De Mer,3.0,-1,85.0,135,5,16.0,Class 5,Good To Firm,4449.0,Martin Todhunter,David Nolan,60,-1,3.0,340.0,0,0.375,0.9831053614616394,0.9914271831512451,"['🔥 Trainer 60%', '🟢 Class Drop', '🚫 Layoff', '❗ Confidence 90%+']","✍️ yard in form, returning from a layoff, down in class, good draw position.",5.1,2:17,haydock,fleur de mer,0.9831053614616394,5.1,0.0,2025-05-22,1.0,2025-05-22,GB,Betfred The Classic Bookmaker Handicap,Flat,Class 5,,0-72,4yo+,,2m,16f,3260.0,Good To Firm,7.0,1.0,5,3.0,10.75,6.5,5.0,M,135.0,,3:37.14,217.14,17.0,David Nolan,Martin Todhunter,260.10,72,–,Dark Angel (IRE),Hespera GB,Danehill,Mr Mrs G F Hall Racing,Slowly into stride - towards rear - outpaced 4f out - soon no impression(op 10/1),0.0,advised
2:55 Yarmouth,Risen Again,2.0,-1,81.0,137,4,10.0,Class 5,Good To Firm,4397.0,Alice Haynes,Rowan Scott,44,-1,18.666666666666664,8.0,4,0.25,0.9744429588317871,0.9914271831512451,"['🔥 Trainer 44%', '🟢 Class Drop', '⚡ Fresh', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, down in class, good draw position.",1.9,2:55,yarmouth,risen again,0.9744429588317871,1.9,0.0,2025-05-22,1.0,2025-05-22,GB,Winning Experience With Moulton Racing Handicap,Flat,Class 5,,0-68,4yo+,,1m2f,10f,2033.0,Good To Firm,8.0,1.0,4,2.0,5,0.3,4.0,G,137.0,hp,2:8.06,128.06,2.38,Rowan Scott,Alice Haynes,515.76,70,–,No Nay Never (USA),Easter Lily (IRE),Galileo,John Hall And A Haynes,Led but pestered - led clearly over 4f out - headed over 2f out - weakened inside final furlong,-1.0,advised
3:05 Ffos Las,Obsessedwithyou,0.0,-1,88.0,168,6,16.0,Class 5,Good,3248.0,Jamie Snowden,Gavin Sheehan,43,-1,2.0,17.0,0,0.0,0.8612558841705322,0.9914271831512451,"['🔥 Trainer 43%', '🟢 Class Drop']","✍️ yard in form, down in class.",4.6,3:05,ffos las,obsessedwithyou,0.8612558841705322,4.6,0.0,2025-05-22,1.0,2025-05-22,GB,Merched Y Mor Mares Handicap Chase,Chase,Class 5,,0-100,5yo+,M,2m,16f,3219.0,Good,5.0,1.0,1,,0,0,6.0,M,168.0,,3:56.91,236.91,3.25,Gavin Sheehan,Jamie Snowden,3294.39,96,–,Bathyrhon (GER),Carmona (FR),Sleeping Car,Awr Consultancy Ltd The Folly Partners,Made all - good jump and increased tempo 3 out - nudged along and drifted left approaching last - pushed along and went clear run-in - readily(op 2/1),3.6,advised
3:25 Yarmouth,Acceptance,6.0,-1,67.0,128,2,5.0,Class 4,Good To Firm,5373.0,Ed Walker,George Downing,56,-1,0.0,22.0,0,0.8571428571428571,0.8546299934387207,0.9914271831512451,"['🔥 Trainer 56%', '🟢 Class Drop', '⚖️ Light Weight']","✍️ yard in form, down in class.",4.0,3:25,yarmouth,acceptance,0.8546299934387207,4.0,0.0,2025-05-22,1.0,2025-05-22,GB,British Stallion Studs EBF Fillies Novice Stakes (GBB Race),Flat,Class 4,,,2yo,F,5f,5f,1044.0,Good To Firm,7.0,1.0,6,6.0,11.75,1,2.0,F,128.0,,1:1.84,61.84,5.5,George Downing,Ed Walker,,–,–,Blue Point (IRE),Izlaz (IRE),Epaulette,Tbt Racing,Led narrowly - headed over 2f out - weakened over 1f out (trainer's rep said the filly unsuited by the going - officially described as good to firm - good in places on this occasion)(op 4/1 tchd 5/1),-1.0,advised
3:35 Ffos Las,Millsbridge,0.0,-1,70.0,156,7,16.0,Class 4,Good,4193.0,Adrian Wintle,Ciaran Gethings,50,-1,-4.0,63.0,0,0.0,0.9793859124183655,0.9914271831512451,"['🔥 Trainer 50%', '🟢 Class Drop', '❗ Confidence 90%+']","✍️ yard in form, down in class.",13.0,3:35,ffos las,millsbridge,0.9793859124183655,13.0,0.0,2025-05-22,1.0,2025-05-22,GB,Welcome To The World Idris Phillips Novices Hurdle (GBB Race),Hurdle,Class 4,,,4yo+,,2m,16f,3184.0,Good,6.0,4.0,5,,39.75,1.25,7.0,G,156.0,,3:57.82,237.82,201.0,Ciaran Gethings,Adrian Wintle,,–,–,Blue Bresil (FR),Milly Malone (IRE),Milan,S R Whistance,Held up in rear - mistake 1st - hung left and weakened approaching last - tailed off(op 250/1),0.0,advised
4:05 Ffos Las,Djo Dela Barriere,0.0,-1,120.0,158,6,24.0,Class 4,Good,4066.0,Evan Williams,Ellis Collier(5),38,-1,23.0,11.0,0,0.0,0.8779732584953308,0.9914271831512451,"['🔥 Trainer 38%', '🟢 Class Drop', '⚡ Fresh', '📈 In Form']","✍️ yard in form, fresh off a short break, down in class, strong recent form.",3.05,4:05,ffos las,djo dela barriere,0.8779732584953308,3.05,0.0,2025-05-22,1.0,2025-05-22,GB,Mickey Bowen Racing Handicap Hurdle,Hurdle,Class 4,,0-120,4yo+,,3m,24f,4801.0,Good,4.0,2.0,3,,4.25,1.75,6.0,G,153.0,,5:51.24,351.24,3.75,Ellis Collier,Evan Williams,935.55,104,–,Choeur Du Nord (FR),Morning Rose (GER),Acatenango,Baytree,Prominent - hung left and lost position gradually approaching last - kept on run-in(op 5/2),-1.0,advised
4:17 Haydock,Spirited Style,3.0,-1,77.0,128,3,10.0,Class 4,Good To Firm,5400.0,Charlie Appleby,William Buick,56,-1,0.0,13.0,0,0.5,0.9803181886672974,0.9914271831512451,"['🔥 Trainer 56%', '🟢 Class Drop', '⚡ Fresh', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, down in class.",2.98,4:17,haydock,spirited style,0.9803181886672974,2.98,0.0,2025-05-22,1.0,2025-05-22,GB,Betfred Double Delight Maiden Fillies Stakes (GBB/GBBPlus Race),Flat,Class 4,,,3yo+,F,1m2f,10f,2050.0,Good To Firm,6.0,6.0,1,3.0,0,0,3.0,F,128.0,,2:8.25,128.25,2.0,William Buick,Charlie Appleby,5400,–,–,Sea The Stars (IRE),Wild Illusion GB,Dubawi,Godolphin,Soon raced in third in touch with leaders - ran green after 4f - headway and challenging over 2f out - led 1f out - went clear final 110yds - comfortably,1.98,advised
4:40 Ffos Las,Junior Des Mottes,0.0,-1,76.0,145,6,24.0,Class 5,Good,3248.0,David Brace,Connor Brace,,-1,0.0,47.0,0,0.0,0.907518744468689,0.9914271831512451,"['🟢 Class Drop', '❗ Confidence 90%+']",✍️ down in class.,34.0,4:40,ffos las,junior des mottes,0.907518744468689,34.0,0.0,2025-05-22,1.0,2025-05-22,GB,Adept GRP Cabinets Novices Limited Handicap Hurdle,Hurdle,Class 5,,0-95,4yo+,,3m,24f,4801.0,Good,7.0,7.0,3,,10.5,9.5,6.0,G,145.0,p,5:56.71,356.71,10.0,Connor Brace,David Brace,747.23,73,–,Castle Du Berlais (FR),Sauves La Reine (FR),Passing Sale,David Brace,Held up in rear - headway 3 out - went third but wandered around before 2 out - outpaced run-in - no match for first two(op 5/1),0.0,advised
4:52 Haydock,Woroodd,5.0,-1,91.0,135,3,7.0,Class 4,Good To Firm,5400.0,Ed Walker,Paul Mulrennan,56,-1,52.0,19.0,0,0.8333333333333334,0.9862210750579834,0.9914271831512451,"['🔥 Trainer 56%', '🟢 Class Drop', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, down in class, strong recent form.",2.2,4:52,haydock,woroodd,0.9862210750579834,2.2,0.0,2025-05-22,1.0,2025-05-22,GB,Betfred Play Freds £5 Million Fillies Novice Stakes (GBB Race),Flat,Class 4,,,3yo+,F,7f,7f,1401.0,Good To Firm,6.0,1.0,1,5.0,0,0,3.0,F,135.0,,1:27.82,87.82,1.67,Paul Mulrennan,Ed Walker,5400,–,–,Dark Angel (IRE),Nearooz GB,New Approach,Sheikh Ahmed Al Maktoum,Soon led - keeping on and 1 length ahead inside final 110yds - reduced lead towards finish - always doing enough,1.2,advised
