race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,last_class,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
1:13 Haydock,Galyx,5.0,-1,112.0,120.0,4,12.0,Class 2,Good,23193.0,Jack Channon,George Bass,64,-1,32.0,28.0,0,0.3125,0.9895221590995789,,0.9979454874992371,"['🔥 Trainer 64%', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, strong recent form, good draw position.",24.0,1:13,haydock,galyx,0.9895221590995789,24.0,0.0,2025-05-31,1.0,2025-05-31,GB,Betfred Play Freds £5 Million Handicap (GBBPlus Race),Flat,Class 2,,0-105,4yo+,,1m4f,12f,2373.0,Good,14.0,16.0,7,5.0,6.25,1.25,4.0,G,120.0,,2:32.30,152.30,9.5,George Bass,Jack Channon,,87,–,Calyx (GB),Gallic Star (IRE),Galileo,Jon And Julia Aisbitt,Prominent - weakened final furlong(op 12/1),0.0,advised
1:48 Haydock,Sergeant Wilko,6.0,-1,105.0,135.0,4,6.0,Class 3,Good,16200.0,Kevin Ryan,Tom Eaves,39,-1,17.0,20.0,0,0.35294117647058826,0.9229556322097778,,0.9979454874992371,"['🔥 Trainer 39%', '❗ Confidence 90%+']","✍️ yard in form, good draw position.",18.0,1:48,haydock,sergeant wilko,0.9229556322097778,18.0,0.0,2025-05-31,1.0,2025-05-31,GB,Betfred Supports Jack Berry House Reverence Handicap,Flat,Class 3,,0-95,4yo+,,6f,6f,1207.0,Good,16.0,1.0,4,6.0,1.5,0.1,4.0,G,135.0,p,1:12.19,72.19,26.0,Tom Eaves,Kevin Ryan,1902,94,–,Bungle Inthejungle (GB),Lady Spangles (IRE),Starspangledbanner,King Power Racing Co Ltd,Raced centre - led overall - headed when groups merged over 1f out - no extra towards finish - 1st of 12 in group(op 20/1 tchd 18/1),0.0,advised
2:05 York,Auspicious,4.0,-1,,129.0,2,6.0,Class 3,Good,12885.0,Nigel Tinkler,Rowan Scott,68,-1,-1.0,-1.0,0,0.3333333333333333,0.8803306221961975,,0.9979454874992371,"['🔥 Trainer 68%', '⚖️ Light Weight']","✍️ yard in form, good draw position.",26.0,2:05,york,auspicious,0.8803306221961975,26.0,0.0,2025-05-31,1.0,2025-05-31,GB,Irish Thoroughbred Marketing EBF Restricted Novice Stakes (Bands A B C & D) (Qual) (GBB/IRE Inc),Flat,Class 3,,,2yo,,6f,6f,1207.0,Good,11.0,10.0,10,4.0,22.75,10,2.0,G,129.0,,1:15.50,75.50,81.0,Faye McManoman,Nigel Tinkler,,–,–,Awtaad (IRE),Kilbaha Lady (IRE),Elnadim,The Dapper Partnership,Dwelt start - towards rear throughout(op 66/1 tchd 100/1),0.0,advised
2:23 Haydock,Leovanni,4.0,-1,115.0,120.0,3,5.0,Class 1,Good,31191.0,K R Burke,William Buick,49,-1,44.0,245.0,0,0.4444444444444444,0.9966644644737244,,0.9979454874992371,"['🔥 Trainer 49%', '🚫 Layoff', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, returning from a layoff, strong recent form.",9.0,2:23,haydock,leovanni,0.9966644644737244,9.0,0.0,2025-05-31,1.0,2025-05-31,GB,Betfred The Classic Bookmaker Achilles Stakes (),Flat,Class 1,Listed,,3yo+,,5f,5f,1006.0,Good,8.0,9.0,4,4.0,1.5,0.3,3.0,F,120.0,,1:0.23,60.23,5.0,William Buick,K R Burke,2948,104,–,Kodi Bear (IRE),Kassandra (IRE),Dandy Man,Wathnan Racing,In touch with leaders - lost position and towards rear over 3f out - not clear run over 1f out - ran on inside final furlong(op 7/2 tchd 9/2),0.0,advised
2:40 York,Spirit Of Applause,9.0,-1,106.0,120.0,5,5.0,Class 2,Good,33501.0,Tim Easterby,Andrew Mullen,47,-1,0.0,13.0,0,0.6923076923076923,0.9951791763305664,,0.9979454874992371,"['🔥 Trainer 47%', '⚡ Fresh', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break.",17.0,2:40,york,spirit of applause,0.9951791763305664,17.0,0.0,2025-05-31,1.0,2025-05-31,GB,William Hill More Top Prices Handicap,Flat,Class 2,,0-105,3yo+,,5f,5f,1006.0,Good,13.0,13.0,9,9.0,4.5,.75,5.0,G,120.0,p,0:57.88,57.88,51.0,Andrew Mullen,Tim Easterby,,78,–,Charm Spirit (IRE),Accolade GB,Acclamation,S A Heley Partner,Towards rear - headway and in touch with leaders over 2f out - no extra inside final 110yds(op 33/1),0.0,advised
2:45 Chester,Come On Over,2.0,-1,,130.0,2,6.0,Class 2,Good,15462.0,Richard Fahey,David Egan,33,-1,-1.0,-1.0,0,0.25,0.9544497132301331,,0.9979454874992371,"['🔥 Trainer 33%', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, good draw position.",3.65,2:45,chester,come on over,0.9544497132301331,3.65,0.0,2025-05-31,1.0,2025-05-31,GB,British Stallion Studs EBF Novice Stakes (GBB Race),Flat,Class 2,,,2yo,,6f,6f,1223.0,Good,8.0,4.0,5,2.0,4.25,.75,2.0,C,130.0,,1:18.16,78.16,3.75,David Egan,Richard Fahey,906,–,–,Kodiac (GB),No Lippy (IRE),Oasis Dream,Amo Racing Limited,Dwelt start - soon prominent on inner - bit short of room and lost position 2f out - soon no extra(op 7/2 and tchd 4/1),-1.0,advised
2:58 Haydock,Beautiful Love,2.0,-1,124.0,131.0,4,12.0,Class 1,Good,48204.0,Charlie Appleby,William Buick,75,-1,1.0,16.0,0,0.25,0.9847760796546936,,0.9979454874992371,"['🔥 Trainer 75%', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, good draw position.",8.0,2:58,haydock,beautiful love,0.9847760796546936,8.0,0.0,2025-05-31,1.0,2025-05-31,GB,Betfred Nifty 50 Lester Piggott Fillies Stakes  (Formerly Known As The Pinnacle Stakes),Flat,Class 1,Group 3,,4yo+,F,1m4f,12f,2373.0,Good,8.0,2.0,4,2.0,11.75,5.5,4.0,F,131.0,,2:33.90,153.90,6.5,William Buick,Charlie Appleby,4556,111,–,Siyouni (FR),Powder Snow (USA),Dubawi,Godolphin,Prominent - outpaced 3f out - weakened from over 1f out(tchd 9/2),0.0,advised
3:15 York,Divina Grace,3.0,-1,117.0,131.0,5,14.0,Class 1,Good,56710.0,Andrew Balding,David Probert,73,-1,38.0,29.0,0,0.42857142857142855,0.9767816066741943,,0.9979454874992371,"['🔥 Trainer 73%', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, strong recent form.",29.0,3:15,york,divina grace,0.9767816066741943,29.0,0.0,2025-05-31,1.0,2025-05-31,GB,William Hill Bronte Cup Fillies Stakes,Flat,Class 1,Group 3,,4yo+,F,1m6f,14f,2787.0,Good,7.0,1.0,6,3.0,9.5,.5,5.0,M,131.0,,2:59.60,179.60,6.5,David Probert,Andrew Balding,1350,106,–,Golden Horn (GB),Beautiful Forest GB,Nayef,Top Hat And Tails,Prominent - pressed leaders over 2f out - weakened over 1f out(op 6/1 tchd 13/2),0.0,advised
3:33 Haydock,Tiger Bay,5.0,-1,125.0,125.0,5,7.0,Class 1,Good,48204.0,Henry Candy,Trevor Whelan,,-1,21.0,28.0,0,0.4166666666666667,0.9896079897880554,,0.9979454874992371,"['⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']",✍️ strong recent form.,28.0,3:33,haydock,tiger bay,0.9896079897880554,28.0,0.0,2025-05-31,1.0,2025-05-31,GB,Betfred John Of Gaunt Stakes,Flat,Class 1,Group 3,,4yo+,,7f,7f,1442.0,Good,12.0,12.0,9,5.0,8,.75,5.0,M,125.0,,1:30.69,90.69,21.0,Trevor Whelan,Henry Candy,,104,–,Harry Angel (IRE),Totally Lost (IRE),Rip Van Winkle,Clive Brandon Henry Candy,Never better than midfield(op 18/1 tchd 16/1),0.0,advised
3:50 York,Coul Angel,2.0,-1,89.0,134.0,3,7.0,Class 4,Good,12885.0,Michael Appleby,Saffie Osborne,42,-1,32.33333333333333,22.0,0,0.09090909090909091,0.8710347414016724,,0.9979454874992371,"['🔥 Trainer 42%', '⚖️ Light Weight', '📈 In Form']","✍️ yard in form, strong recent form, good draw position.",9.4,3:50,york,coul angel,0.8710347414016724,9.4,0.0,2025-05-31,1.0,2025-05-31,GB,Reg Bond Always And Forever Handicap,Flat,Class 4,,0-80,3yo,,7f,7f,1408.0,Good,22.0,5.0,7,2.0,3.25,1,3.0,C,134.0,,1:23.76,83.76,10.0,Saffie Osborne,Michael Appleby,,79,–,Coulsty (IRE),Iamnoangel (IRE),Dark Angel,Rp Racing Ltd,Dwelt start - midfield - headway over 2f out - kept on final furlong(op 15/2),0.0,advised
