Date,Race Time,Course,Horse,Odds,Confidence,Position,Mode,Profit,Stake
2025-05-19,01:45,Redcar,Willowinghurn,17.5,0.8882408738136292,1,level,9.5,
2025-05-19,02:15,Redcar,Lope Y Linda,18.5,0.9255899786949158,5,level,-1.0,
2025-05-19,02:45,Redcar,Early Release,5.9,0.9663886427879332,6,level,-1.0,
2025-05-19,03:00,Carlisle,Water Of Leith,3.35,0.9837716221809388,2,level,-1.0,
2025-05-19,03:30,Carlisle,Kats Bob,12.0,0.9898911714553832,3,level,0.2,
2025-05-19,03:45,Redcar,Rajapour,9.8,0.9865506887435912,4,level,-1.0,
2025-05-19,04:00,Carlisle,Billy Bathgate,10.5,0.99521142244339,3,level,0.05,
2025-05-19,04:15,Redcar,Muscika,16.5,0.9661411046981812,1,level,8.9,
2025-05-19,04:30,Carlisle,Twisting Physics,4.0,0.9873335361480712,2,level,-1.0,
2025-05-19,04:45,Redcar,Novello Lad,2.82,0.9724331498146056,3,level,-1.0,
2025-05-19,05:00,Carlisle,Heavenly Heather,12.0,0.989328920841217,4,level,-1.0,
2025-05-19,05:10,Roscommon,Letters Of Love,10.5,0.957267165184021,3,level,0.05,
2025-05-19,05:15,Redcar,I Can Boogy,20.0,0.9642261266708374,1,level,11.0,
2025-05-19,05:20,Windsor,Faustus,27.0,0.9795709848403932,4,level,-1.0,
2025-05-19,05:30,Carlisle,Harry Palmer,9.0,0.993124783039093,5,level,-1.0,
2025-05-19,05:40,Roscommon,Divelment,3.55,0.9560968279838562,3,level,-1.0,
2025-05-19,05:50,Windsor,Canyouhearthedrums,9.8,0.9251458048820496,9,level,-1.0,
2025-05-19,06:10,Roscommon,Carrickfinn,65.0,0.9407947659492492,9,level,-1.0,
2025-05-19,06:20,Windsor,Blue Bolt,5.0,0.9721859693527222,1,level,2.0,
2025-05-19,06:40,Roscommon,Mocking,3.15,0.8886240124702454,2,level,-1.0,
2025-05-19,07:10,Roscommon,Chavajod,7.8,0.9696425795555116,7,level,-1.0,
2025-05-19,07:20,Windsor,Fast Steps,22.0,0.9765125513076782,3,level,1.2,
