Date,Race Time,Course,Horse,Odds,Confidence,Position,Mode,Stake,Profit
2025-05-26,3:05,Leicester,Singing In Paris,17.5,0.8445477485656738,4,advised,0.75,-0.75
2025-05-26,3:30,Cartmel,Musique De Fee,3.7,0.9744883179664612,1,advised,1.0,2.7
2025-05-26,3:55,Windsor,Socialite,6.4,0.9168156385421752,1,advised,1.0,2.84
2025-05-26,4:35,Redcar,Romieu,9.2,0.9274948239326476,10,advised,1.0,-1.0
2025-05-26,6:30,Ballinrobe,Drumgill,13.0,0.9972213506698608,2,advised,1.0,0.3
2025-05-27,5:50,tipperary,winters breath,5.6,0.9187403321266174,9,advised,1.0,0.0
2025-05-27,6:20,tipperary,howdyadoit,5.3,0.9637832045555116,2,advised,1.0,0.16
2025-05-27,7:00,ballinrobe,maxios prime,7.4,0.9241047501564026,NR,advised,1.0,0.0
2025-05-28,2:00,hamilton,victor cee,2.8,0.72,6,advised,1.0,-1.0
2025-05-28,5:52,kempton (aw),selmiya,7.6,0.57,3,advised,1.0,0.0
2025-05-28,6:22,kempton (aw),give me the night,3.9,0.43,4,advised,1.0,-1.0
2025-05-28,6:52,kempton (aw),both of us,7.0,0.43,8,advised,1.0,0.0
2025-05-28,8:22,kempton (aw),haku,4.3,0.46,1,advised,1.0,3.3
2025-05-29,5:10,limerick,the mans room,9.2,0.933449685573578,2,advised,1.0,0.42
2025-05-29,6:35,sandown,eskimo pie,14.0,0.9818621277809144,3,advised,1.0,0.0
2025-05-29,7:05,sandown,trawlerman,4.2,0.98786062002182,1,advised,1.0,3.2
2025-05-29,7:35,sandown,ombudsman,3.25,0.989589273929596,2,advised,1.0,-1.0
2025-05-29,8:05,sandown,bay city roller,6.6,0.9870344996452332,2,advised,1.0,0.0
2025-05-30,2:15,carlisle,dandy style,7.0,0.9600656032562256,4,advised,1.0,0.0
2025-05-30,7:00,stratford,kings jet,2.68,0.8258078098297119,PU,advised,1.0,-1.0
2025-05-30,7:08,down royal,poetic sound,3.45,0.9697867631912231,7,advised,1.0,-1.0
2025-05-31,1:13,haydock,galyx,24.0,0.9895221590995787,7,advised,1.0,0.0
2025-05-31,1:48,haydock,sergeant wilko,18.0,0.9229556322097778,4,advised,1.0,0.0
2025-05-31,2:05,york,auspicious,26.0,0.8803306221961975,10,advised,1.0,0.0
2025-05-31,2:23,haydock,leovanni,9.0,0.9966644644737244,4,advised,1.0,0.0
2025-05-31,2:40,york,spirit of applause,17.0,0.9951791763305664,9,advised,1.0,0.0
2025-05-31,2:45,chester,come on over,3.65,0.9544497132301332,5,advised,1.0,-1.0
2025-05-31,2:58,haydock,beautiful love,8.0,0.9847760796546936,4,advised,1.0,0.0
2025-05-31,3:15,york,divina grace,29.0,0.9767816066741944,6,advised,1.0,0.0
2025-05-31,3:33,haydock,tiger bay,28.0,0.9896079897880554,9,advised,1.0,0.0
2025-05-31,3:50,york,coul angel,9.4,0.8710347414016724,7,advised,1.0,0.0
2025-05-31,4:08,haydock,ahlain,7.6,0.8338882327079773,7,advised,1.0,0.0
2025-05-31,4:13,listowel,chefs kiss,9.8,0.9088449478149414,NR,advised,1.0,0.0
2025-05-31,5:00,york,flying fletcher,12.5,0.9167054891586304,20,advised,1.0,0.0
