date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2025-05-29,GB,Yarmouth,4:45,Infobond Technical Mainpower Services Handicap,Flat,Class 4,,0-78,4yo+,,6f,6f,1210,Good To Soft,7,5,1,3,0,0,Dark Side Thunder (GB),6,G,128,v,1:13.58,73.58,3.50,George Wood,Jessica Macey,5652.72,71,–,Night Of Thunder (IRE),Dark Side Princess GB,Strategic Prince,M M Foulger,Pressed leader - ridden and led narrowly inside final furlong - just prevailed(op 7/2 and tchd 4/1)
2025-05-29,GB,Yarmouth,4:45,Infobond Technical Mainpower Services Handicap,Flat,Class 4,,0-78,4yo+,,6f,6f,1210,Good To Soft,7,2,2,6,0.2,0.2,Dashing Dick (IRE),7,G,133,p,1:13.62,73.62,8.00,Jack Mitchell,William Stone,2652.48,76,–,Cable Bay (IRE),Raggiante (IRE),Rock Of Gibraltar,Miss Caroline Scott,Led narrowly - rallied when headed inside final furlong - just held(op 13/2 tchd 6/1 and tchd 15/2)
2025-05-29,GB,Yarmouth,4:45,Infobond Technical Mainpower Services Handicap,Flat,Class 4,,0-78,4yo+,,6f,6f,1210,Good To Soft,7,4,3,5,.5,0.3,Arnaz (GB),4,G,129,,1:13.68,73.68,4.33,Tom Marquand,Ed Walker,1325.16,72,–,Havana Grey (GB),Fair Maiden (JPN),Carnegie,Laurence Bellman,Took keen hold - prominent - not clear run from over 2f out - ran on final 110yds - just held(op 11/4 tchd 5/2)
2025-05-29,GB,Yarmouth,4:45,Infobond Technical Mainpower Services Handicap,Flat,Class 4,,0-78,4yo+,,6f,6f,1210,Good To Soft,7,1,4,2,1,.5,Scarboroughwarning (GB),4,F,137,,1:13.78,73.78,4.50,Luke Morris,Sir Mark Prescott Bt,663.12,80,–,Harry Angel (IRE),Scarborough (IRE),Dandy Man,Taylors Bloodstock Ltd,Ducked left start - took keen hold - prominent - kept on final 110yds(op 10/3 tchd 4/1)
2025-05-29,GB,Yarmouth,4:45,Infobond Technical Mainpower Services Handicap,Flat,Class 4,,0-78,4yo+,,6f,6f,1210,Good To Soft,7,7,5,7,1.5,.5,Rhythmic Acclaim (IRE),5,M,119,b,1:13.88,73.88,7.00,Harry Davies,Philip McBride,330.48,62,–,Acclamation (GB),Lyric Harmony (IRE),Teofilo,P J Mcbride,Reluctant to go to start - dwelt start - soon in touch with leaders against near rail - short of room and dropped to last over 4f out - not clear run repeatedly from over 1f out - keeping on when short of room final 110yds - not recover(op 9/2)
2025-05-29,GB,Yarmouth,4:45,Infobond Technical Mainpower Services Handicap,Flat,Class 4,,0-78,4yo+,,6f,6f,1210,Good To Soft,7,6,6,1,1.75,0.3,Havana Sky (GB),4,G,126,,1:13.93,73.93,15.00,Rossa Ryan,Ed Dunlop,,69,–,Havana Gold (IRE),Midnight Sky GB,Desert Prince,The Edr Partnership,Carried left start - in rear on far side of group - headway over 1f out - no extra final 110yds(op 18/1 tchd 12/1)
2025-05-29,GB,Yarmouth,4:45,Infobond Technical Mainpower Services Handicap,Flat,Class 4,,0-78,4yo+,,6f,6f,1210,Good To Soft,7,3,7,4,2.25,.5,Expert Agent (GB),5,G,129,p,1:14.03,74.03,17.00,David Egan,Stuart Williams,,72,–,Expert Eye (GB),Oeuvre DArt (IRE),Marju,N Boyden And C Harrold,In touch with leaders - waiting for room over 2f out - headway over 1f out - no extra final 110yds(op 14/1 tchd 12/1)
2025-05-29,GB,Yarmouth,4:10,Winning Experience With Moulton Racing Novice Stakes (GBB/GBBPlus Race),Flat,Class 4,,,3yo,,1m3½f,11.5f,2308,Good To Soft,5,1,1,1,0,0,Spinning Wheel (GB),3,G,135,,2:28.24,148.24,3.50,Harry Davies,Simon & Ed Crisford,5832,–,–,Postponed (IRE),Finespun (IRE),Sea The Stars,Rabbah Racing,Made virtually all - pestered throughout - ridden and joined over 1f out - soon clear with one other - kept on well final 110yds - gamely(tchd 2/1)
2025-05-29,GB,Yarmouth,4:10,Winning Experience With Moulton Racing Novice Stakes (GBB/GBBPlus Race),Flat,Class 4,,,3yo,,1m3½f,11.5f,2308,Good To Soft,5,3,2,2,0.1,0.1,Marnier (IRE),3,C,130,,2:28.26,148.26,2.62,Robert Havlin,John & Thady Gosden,2737.80,–,–,Saxon Warrior (JPN),Manzanilla GB,Muhaarar,Normandie Stud Ltd,In touch with leaders - headway over 2f out - hung left and disputed lead over 1f out - soon went clear with winner - kept on well final 110yds - just held (jockey said colt hung left-handed)(op 10/11)
2025-05-29,GB,Yarmouth,4:10,Winning Experience With Moulton Racing Novice Stakes (GBB/GBBPlus Race),Flat,Class 4,,,3yo,,1m3½f,11.5f,2308,Good To Soft,5,2,3,4,7,7,Caughtredhanded (GB),3,C,130,v,2:29.64,149.64,29.00,Tyler Heard,John & Thady Gosden,1369.44,–,–,Cracksman (GB),Primevere (IRE),Singspiel,A E Oppenheimer,Pressed winner - weakened over 1f out(op 22/1 tchd 20/1)
2025-05-29,GB,Yarmouth,4:10,Winning Experience With Moulton Racing Novice Stakes (GBB/GBBPlus Race),Flat,Class 4,,,3yo,,1m3½f,11.5f,2308,Good To Soft,5,5,4,3,13,6,Sharp Move (IRE),3,C,130,,2:30.84,150.84,2.50,Tom Marquand,William Haggas,684.72,–,–,Frankel (GB),So Sharp GB,Bated Breath,Sheikh Rashid Dalmook Al Maktoum,Slowly away - always behind(op 7/2)
2025-05-29,GB,Yarmouth,4:10,Winning Experience With Moulton Racing Novice Stakes (GBB/GBBPlus Race),Flat,Class 4,,,3yo,,1m3½f,11.5f,2308,Good To Soft,5,4,5,5,18.5,5.5,Savvy Stellar (GB),3,G,130,,2:31.94,151.94,126.00,Daniel Muscutt,S Woods,,–,–,Oasis Dream (GB),Born To Day (IRE),Born To Sea,Julian Hui,In touch with leaders - weakened over 2f out(op 80/1 tchd 66/1)
2025-05-29,GB,Yarmouth,2:40,British Stallion Studs EBF Novice Stakes (GBB Race),Flat,Class 4,,,2yo,,7f,7f,1411,Good To Soft,6,2,1,5,0,0,Commanders Intent (FR),2,C,133,,1:26.38,86.38,3.12,David Egan,George Scott,5372.99,–,–,Victor Ludorum (GB),Lilienbloom (IRE),Mastercraftsman,Victorious Racing,Prominent - pressed leader over 4f out - ridden and clear with one other when led inside final furlong - ran on(op 6/1 tchd 2/1)
2025-05-29,GB,Yarmouth,2:40,British Stallion Studs EBF Novice Stakes (GBB Race),Flat,Class 4,,,2yo,,7f,7f,1411,Good To Soft,6,3,2,4,1.75,1.75,Man Of Vision (GB),2,C,133,,1:26.73,86.73,2.50,Tom Marquand,Charlie Appleby,2522.33,–,–,Dubawi (IRE),Summer Romance (IRE),Kingman,Godolphin,Reared in stalls before start - led but pestered - went clear with winner when drifted left and headed inside final furlong - soon no extra(op 8/11)
2025-05-29,GB,Yarmouth,2:40,British Stallion Studs EBF Novice Stakes (GBB Race),Flat,Class 4,,,2yo,,7f,7f,1411,Good To Soft,6,1,3,3,4.5,2.75,Brave Hunter (GB),2,C,128,,1:27.28,87.28,21.00,Tommie Jakes,Ismail Mohammed,1261.66,–,–,Universal (IRE),Aussie View (IRE),Australia,Abdulla Al Mansoori,Unseated rider in paddock - in touch with leaders - jumped path over 5f out - outpaced 2f out - rallied final 110yds(tchd 16/1 and tchd 22/1)
2025-05-29,GB,Yarmouth,2:40,British Stallion Studs EBF Novice Stakes (GBB Race),Flat,Class 4,,,2yo,,7f,7f,1411,Good To Soft,6,5,4,2,7.5,3,Rodeo (GB),2,C,133,,1:27.88,87.88,5.50,Robert Havlin,John & Thady Gosden,630.83,–,–,St Marks Basilica (FR),Californiagoldrush (USA),Cape Blanco,Lady Bamford Alice Bamford,Slowly away - in rear - joined main group when jumped path over 5f out - headway over 2f out - ran green and weakened inside final furlong(op 5/1 tchd 10/3)
2025-05-29,GB,Yarmouth,2:40,British Stallion Studs EBF Novice Stakes (GBB Race),Flat,Class 4,,,2yo,,7f,7f,1411,Good To Soft,6,6,5,1,9.5,2,Velocity Vow (IRE),2,C,133,,1:28.28,88.28,29.00,Luke Morris,Archie Watson,,–,–,Camelot (GB),Marbella (IRE),Invincible Spirit,Salem Rashid Bin Ghadayer,Pressed leader - jumped path over 5f out - lost second over 4f out - hung left and weakened over 1f out(op 40/1 tchd 25/1)
