date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2025-05-14,GB,Yarmouth,2:25,everytip.com Betting Tips Handicap,Flat,Class 4,,0-78,4yo+,,7f,7f,1411,Good To Firm,8,7,1,8,0,0,Shaw Park (IRE),6,G,127,,1:21.31,81.31,8.50,Kieran ONeill,Scott Dixon,6542.50,68,–,Aclaim (IRE),Waterways (IRE),Alhaarth,Breese Child Partnership,Pressed leader - ridden to lead over 2f out - faced challenge over 1f out - just did enough(op 8/1 tchd 7/1 and tchd 17/2)
2025-05-14,GB,Yarmouth,2:25,everytip.com Betting Tips Handicap,Flat,Class 4,,0-78,4yo+,,7f,7f,1411,Good To Firm,8,1,2,7,0.05,0.05,Daring Legend (GB),4,G,128,,1:21.32,81.32,6.50,Mason Paetel,Michael Appleby,3070,76,–,Dark Angel (IRE),Swiss Air GB,Oasis Dream,The Horse Watchers 8,Prominent - pressed leader after 2f - pressed winner inside final furlong - just held(op 9/2 tchd 4/1)
2025-05-14,GB,Yarmouth,2:25,everytip.com Betting Tips Handicap,Flat,Class 4,,0-78,4yo+,,7f,7f,1411,Good To Firm,8,5,3,2,2,2,Dark Side Thunder (GB),6,G,131,v,1:21.71,81.71,5.50,Hollie Doyle,Jessica Macey,1533.75,72,–,Night Of Thunder (IRE),Dark Side Princess GB,Strategic Prince,M M Foulger,Swerved right start - in touch with leaders - headway and went third over 1f out - no extra towards finish(tchd 4/1)
2025-05-14,GB,Yarmouth,2:25,everytip.com Betting Tips Handicap,Flat,Class 4,,0-78,4yo+,,7f,7f,1411,Good To Firm,8,2,4,1,3.25,1.25,Bella Bisbee (GB),4,F,132,,1:21.96,81.96,13.00,Billy Loughnane,Ed Dunlop,767.50,73,–,Muhaarar (GB),Sterling Sound (USA),Street Cry,Nikki Turner,Held up in rear - headway over 1f out - soon went fourth - no telling impression(op 18/1)
2025-05-14,GB,Yarmouth,2:25,everytip.com Betting Tips Handicap,Flat,Class 4,,0-78,4yo+,,7f,7f,1411,Good To Firm,8,3,5,6,4.25,1,Finbars Lad (GB),6,G,132,,1:22.16,82.16,7.00,Cieren Fallon,John & Sean Quinn,382.50,73,–,Territories (IRE),Jacaranda Ridge GB,Indian Ridge,P Harrington,Taken down early - led but pestered - headed over 2f out - no extra over 1f out(tchd 9/1)
2025-05-14,GB,Yarmouth,2:25,everytip.com Betting Tips Handicap,Flat,Class 4,,0-78,4yo+,,7f,7f,1411,Good To Firm,8,8,6,5,4.5,0.2,Rhythmic Acclaim (IRE),5,M,122,,1:22.25,82.25,4.50,Harry Davies,Philip McBride,,63,–,Acclamation (GB),Lyric Harmony (IRE),Teofilo,P J Mcbride,Held up in rear - some headway over 2f out - no impression(tchd 3/1)
2025-05-14,GB,Yarmouth,2:25,everytip.com Betting Tips Handicap,Flat,Class 4,,0-78,4yo+,,7f,7f,1411,Good To Firm,8,6,7,3,4.75,0.3,Berry Clever (GB),4,G,130,b,1:22.26,82.26,6.00,Aidan Keeley,Chris Dwyer,,71,–,Expert Eye (GB),Rose Berry GB,Archipenko,Strawberry Fields Stud,Midfield - weakened over 1f out(tchd 9/2)
2025-05-14,GB,Yarmouth,2:25,everytip.com Betting Tips Handicap,Flat,Class 4,,0-78,4yo+,,7f,7f,1411,Good To Firm,8,4,8,4,15.75,11,Ernies Valentine (GB),6,G,132,,1:24.46,84.46,13.00,Jack Mitchell,Ross Burdon,,73,–,Havana Gold (IRE),Eastern Destiny GB,Dubai Destination,The Bumblebees And Partners,In touch with leaders - weakened over 2f out(tchd 11/1)
2025-05-14,GB,Yarmouth,3:00,Mental Health Awareness Week Fillies Novice Stakes (GBB Race),Flat,Class 4,,,3yo+,F,6f,6f,1210,Good To Firm,7,6,1,7,0,0,Pelean (GB),3,F,128,,1:10.48,70.48,34.00,Robert Havlin,John & Thady Gosden,5832,74,–,Pinatubo (IRE),Perfection GB,Dutch Art,Cheveley Park Stud,Prominent early - led after 1f - pushed along inside final furlong - readily (trainer's rep said - regarding the apparent improvement in form - that filly benefitted from a drop back in trip from 7f)(op 18/1)
2025-05-14,GB,Yarmouth,3:00,Mental Health Awareness Week Fillies Novice Stakes (GBB Race),Flat,Class 4,,,3yo+,F,6f,6f,1210,Good To Firm,7,2,2,1,2.25,2.25,Sunlit Uplands (IRE),3,F,133,,1:10.93,70.93,5.50,Callum Shepherd,Rae Guest,2737.80,74,–,Sands Of Mali (FR),Illico GB,Dansili,Rae Guest,Towards rear - headway over 1f out - went second final strides - no match for winner(op 6/1)
