date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2025-05-14,GB,Newton Abbot,3:22,Racing Welfare Supporting Mental Health Awareness Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,3m2f,26f,5185,Good,5,4,1,,0,0,Belgarum (IRE),7,G,161,tp,6:30.47,390.47,5.00,Freddie Gingell,Joe Tizzard,5892.43,103,–,Shirocco (GER),Cyrils Girl GB,Yeats,Mrs G C Pritchard,Prominent - mistake and nearly lost jockey 1st - not fluent 2nd - pressed leader 4 out - led home turn - pecked on landing 2 out - ridden and went clear approaching last - comfortably(op 10/3)
2025-05-14,GB,Newton Abbot,3:22,Racing Welfare Supporting Mental Health Awareness Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,3m2f,26f,5185,Good,5,1,2,,6,6,Hold Your Fort (IRE),9,G,163,,6:31.67,391.67,4.00,Callum Pritchard,Debra Hamer,2756.33,110,–,El Salvador (IRE),Spirit Of Youth (IRE),Brian Boru,J Rees,Led - headed home turn - outpaced 2 out - kept on run-in - no match for winner(op 4/1 tchd 11/4)
2025-05-14,GB,Newton Abbot,3:22,Racing Welfare Supporting Mental Health Awareness Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,3m2f,26f,5185,Good,5,7,3,,9.5,3.5,Unspeakable (IRE),7,G,144,t,6:32.37,392.37,3.00,Jack Tudor,Christian Williams,1419.83,86,–,Sholokhov (IRE),Croise Naofa (IRE),Presenting,The Unspeakable Twelve,Held up in rear - outpaced 4 out - rallied home turn - briefly went second 2 out - weakened run-in(op 7/4)
2025-05-14,GB,Newton Abbot,3:22,Racing Welfare Supporting Mental Health Awareness Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,3m2f,26f,5185,Good,5,5,4,,20.5,11,Dancingontheedge (FR),8,M,157,t,6:34.57,394.57,3.75,Harry Cobden,Paul Nicholls,752.13,99,–,Kapgarde (FR),Solarize (FR),Villez,Old Gold Racing 4,Held up in rear - headway 4 out - outpaced home turn - weakening when edged left approaching last(op 16/5 tchd 4/1)
2025-05-14,GB,Newton Abbot,3:22,Racing Welfare Supporting Mental Health Awareness Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,3m2f,26f,5185,Good,5,3,PU,,-,-,Diol Ker (FR),11,G,155,,-,-,19.00,Osian Radford,Evan Williams,,107,–,Martaline (GB),Stiren Bleue (FR),Pistolet Bleu,Mrs C Williams,Didn't jump well - prominent - jumped path and dropped to rear before 6th - went third again 7th - lost position 10th - lost touch 16th - pulled up before 3 out(op 16/1 tchd 12/1)
2025-05-14,GB,Newton Abbot,4:30,Coast And Country Estate Agents Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,2m5f,21f,4221,Good,4,1,1,,0,0,Opening Bid (GB),10,G,164,p,5:4.47,304.47,3.00,Callum Pritchard,Chris Down,6811.75,121,–,Native Ruler (GB),Clifton Encore (USA),War Chant,T Hamlin And J M Dare,Led - headed before 3rd - led again 4 out - pushed along home turn - ridden when good jump last - kept on well run-in - won going away(op 9/4)
2025-05-14,GB,Newton Abbot,4:30,Coast And Country Estate Agents Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,2m5f,21f,4221,Good,4,2,2,,6,6,Somespring Special (IRE),7,M,168,t,5:5.67,305.67,4.33,Micheal Nolan,Philip Hobbs & Johnson White,3675.65,120,–,Westerner (GB),Natural Spring GB,Generous,Yeo Racing Partnership,Held up in last - headway when mistake 11th - bit short of room home turn - left in second 2 out - weakened last(op 16/5 tchd 3/1 and tchd 7/2)
2025-05-14,GB,Newton Abbot,4:30,Coast And Country Estate Agents Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,2m5f,21f,4221,Good,4,5,F,,-,-,Time To Bite (IRE),10,G,154,b,-,-,4.50,David Noonan,Chris Honour,,106,–,Scorpion (IRE),Time To Act GB,Rakaposhi King,The Chris Honour Racing Club,Pressed leader - stumbled 2nd - led before 3rd - increased tempo with one circuit to go - not fluent 10th - slow jump and headed 4 out - 2 lengths down but keeping on when fell heavily 2 out(op 11/4)
2025-05-14,GB,Newton Abbot,4:30,Coast And Country Estate Agents Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,2m5f,21f,4221,Good,4,3,PU,,-,-,Sherborne (IRE),9,G,164,t,-,-,3.25,Freddie Gingell,Joe Tizzard,,116,–,Getaway (GER),Luck Of The Deise (IRE),Old Vic,Geoff Kennington And Geoff Nicholas,Raced in third - not fluent 11th - slow jump 4 out - soon outpaced and detached - pulled up before 2 out (jockey said gelding lost his action)(op 11/4 tchd 2/1)
2025-05-14,GB,Newton Abbot,3:55,Autism In Racing Here 28th May Handicap Hurdle,Hurdle,Class 4,,0-120,4yo+,,2m2½f,18.5f,3722,Good,6,4,1,,0,0,American Land (IRE),7,G,161,t,4:20.20,260.20,3.50,Brendan Powell,Joe Tizzard,5281,112,–,Malinas (GER),Golan Annie (IRE),Golan,Brocade Racing,Raced in second - led narrowly before 2 out - soon edged left and bumped - carried right just before 2 out - hung left before last - joined run-in - kept on well towards finish - just prevailed(op 7/4 tchd 11/4)
