date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2025-05-12,IRE,Killarney (IRE),4:35,Kerry Tool Hire Mares Maiden Hurdle,Flat,,,,4yo+,M,2m6½f,22.5f,4517,Yielding,9,1,1,,0,0,Affinity Rock (IRE),5,M,153,,5:34.80,334.80,2.88,Danny Gilligan,Cian Collins,€5900,–,–,Affinisea (IRE),Hill Rock (IRE),Beneficial,Friends In Low Places Syndicate,Made all - faced challenge before 3 out - ridden after 2 out - stayed on final 110yds(tchd 9/4)
2025-05-12,IRE,Killarney (IRE),4:35,Kerry Tool Hire Mares Maiden Hurdle,Flat,,,,4yo+,M,2m6½f,22.5f,4517,Yielding,9,3,2,,1.5,1.5,Former Flame (IRE),5,M,153,,5:35.10,335.10,8.50,Richard Deegan,Liz Doyle,€1900,–,–,Doyen (IRE),Dare To Be Wild (IRE),Beneficial,Flame Partnership,In touch with leaders - pressed winner before 3 out - kept on from last(op 13/2 tchd 11/2 and tchd 8/1)
2025-05-12,IRE,Killarney (IRE),4:35,Kerry Tool Hire Mares Maiden Hurdle,Flat,,,,4yo+,M,2m6½f,22.5f,4517,Yielding,9,7,3,,3,1.5,Regards To Rose (IRE),6,M,148,t,5:35.40,335.40,26.00,G B Noonan,Eoin Christopher McCarthy,€900,100,–,Fuisse (FR),Westfest (IRE),Westerner,M Mortell,In touch with leaders - steady headway after 4 out - no extra from last(op 33/1)
2025-05-12,IRE,Killarney (IRE),4:35,Kerry Tool Hire Mares Maiden Hurdle,Flat,,,,4yo+,M,2m6½f,22.5f,4517,Yielding,9,10,4,,6.5,3.5,Time In A Bottle (GB),5,M,146,ht,5:36.10,336.10,3.25,Mr J H Williamson,Henry De Bromhead,€400,–,–,Castle Du Berlais (FR),Adriana Des Mottes (FR),Network,Mrs T P Hydemrs T Hydejohn O Roche,Took keen hold - held up in rear - steady headway halfway - prominent on outer on turn before 3 out - weakened from last(op 5/2 tchd 2/1 and tchd 11/4)
2025-05-12,IRE,Killarney (IRE),4:35,Kerry Tool Hire Mares Maiden Hurdle,Flat,,,,4yo+,M,2m6½f,22.5f,4517,Yielding,9,5,5,,11,4.5,Kilfera (GB),5,M,153,,5:37.00,337.00,26.00,Danny Mullins,Ms Margaret Mullins,€200,95,–,Blue Bresil (FR),Ninna Nanna (FR),Garde Royale,John O Roche,In rear - headway when hampered on turn before 3 out - not fluent and weakened 2 out(op 20/1 tchd 18/1)
2025-05-12,IRE,Killarney (IRE),4:35,Kerry Tool Hire Mares Maiden Hurdle,Flat,,,,4yo+,M,2m6½f,22.5f,4517,Yielding,9,4,6,,15.25,4.25,Getaways Charm (IRE),5,M,153,,5:37.85,337.85,15.00,Jordan Gainford,Gordon Elliott,€100,–,–,Getaway (GER),Nomad Attitude (FR),Martaline,Maydan Partnership,Towards rear - short of room and hampered on turn before 3 out - switched sharply right before 2 out - soon weakened(op 10/1 tchd 17/2)
2025-05-12,IRE,Killarney (IRE),4:35,Kerry Tool Hire Mares Maiden Hurdle,Flat,,,,4yo+,M,2m6½f,22.5f,4517,Yielding,9,9,PU,,-,-,Sugar Cookie (FR),6,M,153,,-,-,5.50,Paul Townend,W P Mullins,,–,–,Tin Horse (IRE),Trasimene GB,Sinndar,Watch This Space Syndicate,Didn't always jump with fluency - midfield - lost position halfway - weakened after 4 out - pulled up before 3 out (vet reported mare to be post race normal)(tchd 4/1 and tchd 5/1)
2025-05-12,IRE,Killarney (IRE),4:35,Kerry Tool Hire Mares Maiden Hurdle,Flat,,,,4yo+,M,2m6½f,22.5f,4517,Yielding,9,11,PU,,-,-,Whatchukno (IRE),7,M,146,,-,-,301.00,Robbie Geoghegan,T J Nagle Jr,,–,–,Gatewood (GB),Corowa (IRE),New South Wales,T J Nagle Jr,Didn't jump with fluency - towards rear throughout - lost touch and pulled up before 3 out(op 250/1)
2025-05-12,IRE,Killarney (IRE),4:35,Kerry Tool Hire Mares Maiden Hurdle,Flat,,,,4yo+,M,2m6½f,22.5f,4517,Yielding,9,6,SU,,-,-,Paudies Wings (IRE),5,M,150,,-,-,15.00,Cian Quirke,David Harry Kelly,,97,–,Wings Of Eagles (FR),Padraigs Joy (IRE),Vinnie Roe,John Palmer,Raced in second - not fluent 8th - lost position when hampered and slipped up on turn before 3 out (jockey said mare clipped a heel)(tchd 11/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,14,1,,0,0,Rockonliam (IRE),5,G,158,t,5:4.50,304.50,4.00,Darragh OKeeffe,Henry De Bromhead,€5900,–,–,Arctic Cosmos (USA),Fromthecloudsabove (IRE),Cloudings,Cheeky Pups Syndicate,Prominent on inner - not fluent 4 out - went second and challenging 2 out - pushed along and led last - ridden and kept on well final 110yds(op 10/3 tchd 9/4)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,1,2,,.75,.75,Big Dispute (IRE),6,G,166,,5:4.65,304.65,23.00,Phillip Enright,Con McSweeney,€1900,93,–,French Navy (GB),Katies Crown (IRE),Royal Abjar,Cornelius Mcsweeney,Led - faced challenge 2 out - headed last - rallied and went clear with winner run-in(op 20/1 tchd 18/1 and tchd 25/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,2,3,,9.75,9,Joli Travail (FR),6,G,166,,5:6.45,306.45,4.50,Mark Walsh,W P Mullins,€900,–,–,Rob Roy (USA),Serie Limitee (FR),Kahyasi,John P Mcmanus,Midfield - headway when not fluent 2 out - ran on run-in - went third final strides - no match for first two(op 5/2 tchd 4/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,15,4,,9.75,0.1,Sporting Glance (FR),6,G,158,t,5:6.47,306.47,4.50,Jordan Gainford,Cian Collins,€400,–,–,Coastal Path (GB),Analifet (FR),Califet,Kevin Mcconnell,Prominent - went second 3 out - lost second 2 out - weakened approaching last - lost third final strides(op 10/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,9,5,,10.25,.5,Foxy Mick (IRE),6,G,151,,5:6.55,306.55,41.00,Mr Andrew Burke-Ott,Alexander Ott,€200,–,–,Elusive Emir (USA),Kilbrin Queen (IRE),Wareed,Alexander Ott,Towards rear - headway 3 out - ran on well from last - not reach leaders(op 33/1 tchd 50/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,7,6,,15.75,5.5,Come Home Sonny (IRE),7,G,158,,5:7.65,307.65,151.00,Sean OKeeffe,Maike Magnussen,€100,–,–,Arcadio (GER),Elisabetta (IRE),Milan,Maike Magnussen,Midfield - headway and prominent 3 out - outpaced approaching last - no extra run-in(op 80/1 tchd 200/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,6,7,,20.5,4.75,Cabaret Prince (GB),6,G,158,t,5:8.60,308.60,5.00,Conor McNamara,E McNamara,,–,–,Doyen (IRE),La Dame Brune (FR),Mansonnien,John Battersby Racing Syndicate,Raced in second - lost position 3 out - weakened 2 out(op 10/3 tchd 5/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,8,8,,21.25,.75,County Final (IRE),5,G,153,t,5:8.75,308.75,17.00,Aidan Kelly,E McNamara,,–,–,Court Cave (IRE),Cregg So (IRE),Moscow Society,John P Mcmanus,Towards rear - some headway after 3 out - kept on - never on terms(op 12/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,10,9,,28.25,7,Harpers Frontier (IRE),6,G,158,,5:10.15,310.15,13.00,Sam Ewing,Gordon Elliott,,–,–,Sans Frontieres (IRE),Daveoin (IRE),Presenting,Pioneer Racing,Novicey jumping - never better than midfield - no extra from 2 out(op 11/1 tchd 10/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,11,10,,33.75,5.5,Kasper Blou (FR),5,G,153,tp,5:11.25,311.25,201.00,Shane OCallaghan,Eoin Doyle,,–,–,Stormy River (FR),LElusive (FR),Elusive City,Mrs P Doyle,Midfield - not fluent 3rd - not fluent 5 out - weakened before 2 out(op 125/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,4,11,,38.5,4.75,Amron Diamond (IRE),6,G,158,,5:12.20,312.20,67.00,Simon Torrens,J Motherway,,–,–,Diamond Boy (FR),Dawn Flyer (IRE),Broadway Flyer,D J Motherway,Towards rear - some headway into midfield 4th - weakened from 3 out(op 125/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,16,12,,54.5,16,Tedworth (IRE),5,G,158,,5:15.40,315.40,251.00,Mike OConnor,Michael Barry,,–,–,Sholokhov (IRE),Culmore Girl (IRE),Chevalier,Michael Barry,Towards rear throughout(op 150/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,3,13,,55.25,.75,My Lyka (GB),6,G,166,t,5:15.55,315.55,101.00,Keith Donoghue,Ms Claire OConnell,,110,–,Intello (GER),Nessita GB,Shamardal,Andrew Heffernan,Never better than midfield - weakened from 2 out(op 66/1 tchd 50/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,5,14,,63.75,8.5,Boy Gin Go (IRE),5,G,158,,5:17.25,317.25,151.00,E Walsh,Eugene M OSullivan,,–,–,Casamento (IRE),Siwaara (IRE),Peintre Celebre,Eugene M Osullivan,Towards rear throughout(op 125/1)
2025-05-12,IRE,Killarney (IRE),5:08,Kelly Bros Maiden Hurdle,Flat,,,,5yo+,,2m4f,20f,4069,Yielding,15,13,PU,,-,-,On Cloud Wine (GB),6,G,158,,-,-,7.50,Paul Townend,W P Mullins,,–,–,Sea The Stars (IRE),Dalasyla (IRE),Marju,Mrs S Ricci,In touch with leaders - wandered on approach before 1st - slow jump 2nd - not fluent 7th - weakened quickly and dropped to rear after 4 out - pulled up 3 out(op 6/1 tchd 5/1)
2025-05-12,IRE,Killarney (IRE),5:38,Irish Examiner Novice Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,5,5,1,,0,0,Sober (FR),6,G,158,,5:2.40,302.40,1.36,Paul Townend,W P Mullins,€6785,–,–,Camelot (GB),Burma Sea (FR),Lope De Vega,Oti Racing The Why Knot Partnership,Didn't always jump with fluency - in touch with leaders - headway and pressed leader 3 out - ridden after 2 out - led narrowly last - kept on well towards finish(op 2/5 tchd 1/3 and tchd 1/2)
2025-05-12,IRE,Killarney (IRE),5:38,Irish Examiner Novice Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,5,1,2,,1.25,1.25,Arch Empire (FR),5,G,164,,5:2.65,302.65,7.00,Danny Gilligan,Gordon Elliott,€2185,120,–,Doctor Dino (FR),Arch Duchess (FR),Arch,Goldman Racing Syndicate,Towards rear - steady headway after 4 out - left in lead before 3 out - soon faced challenge - rallied when headed last - no extra towards finish(op 13/2 tchd 11/2)
2025-05-12,IRE,Killarney (IRE),5:38,Irish Examiner Novice Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,5,3,3,,10.75,9.5,St Cuthberts Cave (IRE),7,G,157,t,5:4.55,304.55,7.00,Mr J H Williamson,Gordon Elliott,€1035,119,–,Court Cave (IRE),Glenmore Erica (IRE),Westerner,Gigginstown House Stud,Chased clear leader - pressed leader when not fluent 3 out - weakened 2 out(op 11/2 tchd 5/1)
2025-05-12,IRE,Killarney (IRE),5:38,Irish Examiner Novice Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,5,4,4,,12,1.25,Reiki Revolution (IRE),5,G,153,,5:4.80,304.80,23.00,Tiernan Power Roche,P J Rothwell,€460,–,–,Wings Of Eagles (FR),Presenting Gems (IRE),Presenting,James F Dunne,Didn't jump with fluency - in rear - steady headway before 3 out - weakened after 2 out(op 16/1)
2025-05-12,IRE,Killarney (IRE),5:38,Irish Examiner Novice Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,5,2,5,,25,13,Carrigg Island (IRE),5,G,159,,5:7.40,307.40,21.00,G B Noonan,Eoin Christopher McCarthy,€230,–,–,Papal Bull (GB),Ardkilly Vixen (IRE),Definite Article,Matthew B Oconnor,Took keen hold - led - soon went clear - jumped right 4 out - hung right and just headed when jumped badly right 3 out - soon weakened(op 16/1 tchd 18/1)
2025-05-12,IRE,Killarney (IRE),6:08,Killarney Oaks Hotel Handicap Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,10,11,1,,0,0,My Gaffer (IRE),7,G,147,,4:56.90,296.90,4.50,Danny Mullins,John Patrick Ryan,€9440,110,–,Malinas (GER),Deep Sunset (IRE),Supreme Leader,Walter Oconnor,Made all - not fluent 6th - 2 lengths ahead when left clear 3 out - pushed along after 2 out - ridden and kept on well run-in(op 4/1 tchd 11/4)
2025-05-12,IRE,Killarney (IRE),6:08,Killarney Oaks Hotel Handicap Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,10,4,2,,3.25,3.25,Popova (IRE),8,M,160,,4:57.55,297.55,9.00,Sean Flanagan,Henry De Bromhead,€3040,123,–,Ruler Of The World (IRE),Meon Mix GB,Kayf Tara,D Maughan,Held up in rear - headway before 3 out - switched right and went third 2 out - disputing second last - kept on(tchd 9/1)
2025-05-12,IRE,Killarney (IRE),6:08,Killarney Oaks Hotel Handicap Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,10,9,3,,3.25,0.05,Howdoyalikeherhome (IRE),6,G,151,p,4:57.56,297.56,6.50,Danny Gilligan,Gordon Elliott,€1440,114,–,Champs Elysees (GB),Thedoublede (IRE),Deploy,Ed Mulligan,Midfield - keeping on when left in third 3 out - chased clear leader 2 out - kept on run-in - just held second(op 5/1 tchd 6/1)
2025-05-12,IRE,Killarney (IRE),6:08,Killarney Oaks Hotel Handicap Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,10,3,4,,12.75,9.5,Black Bamboo (IRE),8,G,157,p,4:59.45,299.45,6.50,Tom Harney,John Joseph Murphy,€640,127,–,Fame And Glory (GB),Andreas Pride (IRE),Croco Rouge,Threedownoneup Syndicate,Midfield - in touch with leaders 3rd - pushed along and lost position after 4 out - not fluent 2 out - went fourth approaching last - not fluent last - kept on - not reach leaders(op 9/2 tchd 6/1)
2025-05-12,IRE,Killarney (IRE),6:08,Killarney Oaks Hotel Handicap Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,10,2,5,,24.75,12,Any Road (IRE),8,G,165,,5:1.85,301.85,4.50,Darragh OKeeffe,E J OGrady,€320,128,–,Walk In The Park (IRE),At Maggies Cross (IRE),Oscar,E J Ogrady,In touch with leaders - headway and prominent 4 out - hampered and lost ground 3 out - weakened from 2 out(op 11/2)
2025-05-12,IRE,Killarney (IRE),6:08,Killarney Oaks Hotel Handicap Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,10,1,6,,28.5,3.75,Lucky Zebo (GB),8,G,166,,5:2.60,302.60,15.00,Mike OConnor,Henry De Bromhead,€160,129,–,Yorgunnabelucky (USA),Lady Karinga GB,Karinga Bay,E J Lawson Maher,In touch with leaders - dropped to midfield halfway - slightly hampered 3 out - no extra from 2 out(tchd 12/1 and tchd 16/1)
2025-05-12,IRE,Killarney (IRE),6:08,Killarney Oaks Hotel Handicap Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,10,7,7,,32,3.5,Major Barry (IRE),7,G,154,,5:3.30,303.30,9.00,Sean Houlihan,Paul Stephen Kiely,,117,–,Sholokhov (IRE),Degenerous (IRE),Generous,M Anthony Murphy Walter Murphy,Prominent - soon disputing second - lost position before 3 out - soon no extra(op 7/1)
2025-05-12,IRE,Killarney (IRE),6:08,Killarney Oaks Hotel Handicap Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,10,13,8,,35.75,3.75,Navigator Jack (IRE),8,G,136,,5:4.05,304.05,11.00,Ethan OSullivan,Eoin Griffin,,106,–,Fame And Glory (GB),Jigsn Reels (IRE),Old Vic,Leonard Kinsella,Towards rear throughout(tchd 11/1)
2025-05-12,IRE,Killarney (IRE),6:08,Killarney Oaks Hotel Handicap Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,10,5,9,,43.25,7.5,Cafe Con Leche (IRE),9,G,150,,5:5.55,305.55,17.00,Mr A D Bustin,C Byrnes,,120,–,Camacho (GB),Cafe Lassere (USA),Giants Causeway,Anthony David Bustin Paul Mc Kernan Aisling Mccarthy,Towards rear throughout - awkward jump 1st(op 14/1)
2025-05-12,IRE,Killarney (IRE),6:08,Killarney Oaks Hotel Handicap Hurdle,Flat,,,,4yo+,,2m4f,20f,4069,Yielding,10,8,UR,,-,-,Desert Cave (IRE),7,G,151,t,-,-,34.00,Jordan Gainford,Cian Collins,,114,–,Court Cave (IRE),Big Hill (IRE),Beat All,H Gettings,Prominent - soon disputing second - went second but mistake and unseated 3 out(op 16/1)
2025-05-12,IRE,Killarney (IRE),6:38,BoyleSports An Riocht Chase,Flat,,Grade 3,,5yo+,,2m4½f,20.5f,4115,Yielding,7,5,1,,0,0,Hercule Du Seuil (FR),8,G,154,ht,4:4.90,244.90,3.25,Mark Walsh,W P Mullins,€22125,149,–,Saddler Maker (IRE),Cibelle Du Seuil (FR),Saint Des Saints,John P Mcmanus,In touch with leaders - went second 4th - prominent before 6th - went second again after 2 out - ridden and clear with one other when led run-in - stayed on(op 11/4 and tchd 3/1)
2025-05-12,IRE,Killarney (IRE),6:38,BoyleSports An Riocht Chase,Flat,,Grade 3,,5yo+,,2m4½f,20.5f,4115,Yielding,7,4,2,,2,2,Blood Destiny (FR),6,G,160,,4:5.30,245.30,3.00,Paul Townend,W P Mullins,€7125,152,–,No Risk At All (FR),High Blood (FR),High Yield,Roaringwater Syndicate,Not fluent early - in touch with leaders - steady headway 4 out - led going easily after 3 out - went clear with winner when headed run-in - soon no extra(op 6/4 tchd 85/40)
2025-05-12,IRE,Killarney (IRE),6:38,BoyleSports An Riocht Chase,Flat,,Grade 3,,5yo+,,2m4½f,20.5f,4115,Yielding,7,6,3,,12,10,Jesse Evans (IRE),9,G,151,t,4:7.30,247.30,4.00,Donagh Meyler,Noel Meade,€3375,148,–,So You Think (NZ),American Princess (IRE),Desert Prince,Jack Singleton,Towards rear on inner - headway and prominent 3 out - weakened run-in(op 10/3 and tchd 4/1)
2025-05-12,IRE,Killarney (IRE),6:38,BoyleSports An Riocht Chase,Flat,,Grade 3,,5yo+,,2m4½f,20.5f,4115,Yielding,7,2,4,,24,12,Ash Tree Meadow (FR),9,G,162,t,4:9.70,249.70,11.00,Danny Gilligan,Gordon Elliott,€1500,158,–,Bonbon Rose (FR),Alzasca (FR),Grape Tree Road,Alymer Stud,Led - headed after 3 out - weakened before last(tchd 8/1)
2025-05-12,IRE,Killarney (IRE),6:38,BoyleSports An Riocht Chase,Flat,,Grade 3,,5yo+,,2m4½f,20.5f,4115,Yielding,7,3,5,,25.75,1.75,Senecia (IRE),8,G,162,b,4:10.05,250.05,11.00,Phillip Enright,Vincent Laurence Halley,€750,150,–,Ask (GB),Fennis Moll (IRE),Presenting,Laurence V Halley,Raced wide - didn't always jump with fluency - raced in second - in touch with leaders 4th - lost position halfway - weakened 4 out(op 12/1)
2025-05-12,IRE,Killarney (IRE),6:38,BoyleSports An Riocht Chase,Flat,,Grade 3,,5yo+,,2m4½f,20.5f,4115,Yielding,7,8,6,,33.75,8,Je TAi Porte (IRE),7,M,144,h,4:11.65,251.65,17.00,Conor Stone-Walsh,Gavin Cromwell,€375,132,–,Footstepsinthesand (GB),Hasanza (USA),Mr Greeley,Poetry In Motion Syndicate,Held up in rear - headway and went second before 6th - weakened before 3 out(op 40/1)
2025-05-12,IRE,Killarney (IRE),6:38,BoyleSports An Riocht Chase,Flat,,Grade 3,,5yo+,,2m4½f,20.5f,4115,Yielding,7,7,7,,69.75,36,Prairie Dancer (IRE),7,G,151,b,4:18.85,258.85,29.00,J J Slevin,Joseph Patrick OBrien,,135,–,Territories (IRE),Polka Dot (IRE),Galileo,Sean Sweeney Kieran Ohare,Raced wide early - towards rear - weakened 4 out - tailed off(op 25/1 tchd 22/1)
2025-05-12,IRE,Killarney (IRE),7:08,Dan Linehans Handicap Chase,Flat,,,,5yo+,,2m4½f,20.5f,4115,Yielding,15,5,1,,0,0,Gabriel Ranger (IRE),6,G,162,,5:11.60,311.60,7.00,Danny Mullins,Joseph G Murphy,€6785,106,–,Diamond Boy (FR),Nicaragua GB,Zamindar,Tadhg Osullivan,Led - joined 6th - headed but pressed leader 8th - ridden challenging approaching last - ran on well and led towards finish(op 8/1)
2025-05-12,IRE,Killarney (IRE),7:08,Dan Linehans Handicap Chase,Flat,,,,5yo+,,2m4½f,20.5f,4115,Yielding,15,15,2,,0.3,0.3,Cloughroe (IRE),7,G,148,,5:11.66,311.66,15.00,Jack G Gilligan,Paul John Gilligan,€2185,97,–,Sans Frontieres (IRE),Capparoe Cross (IRE),Saddlers Hall,Gerald Love,Midfield - mistake and jockey lost iron 1st - prominent 2nd - disputed lead 6th - led narrowly 8th - ridden and faced challenge from last - headed towards finish(op 12/1)
2025-05-12,IRE,Killarney (IRE),7:08,Dan Linehans Handicap Chase,Flat,,,,5yo+,,2m4½f,20.5f,4115,Yielding,15,10,3,,5,4.75,Inthenickoftime (IRE),5,G,157,h,5:12.60,312.60,7.00,Simon Torrens,E Bolger,€1035,101,–,Gleneagles (IRE),Against The Breeze (IRE),Duke Of Marmalade,John P Mcmanus,Towards rear - headway before 2 out (usual 3 out) - ran on well and went third run-in - no match for first two(op 8/1)
2025-05-12,IRE,Killarney (IRE),7:08,Dan Linehans Handicap Chase,Flat,,,,5yo+,,2m4½f,20.5f,4115,Yielding,15,3,4,,6.75,1.75,Iks Man (FR),9,G,159,t,5:12.95,312.95,13.00,John Shinnick,Terence OBrien,€460,108,–,Walk In The Park (IRE),Iks Du Fau (FR),Saint Des Saints,Rebel Deise Syndicatemaura Healyjoe Mcgowan,In touch with leaders on inner - prominent 8th - disputing third approaching last - kept on(op 8/1 tchd 14/1)
