date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2025-05-13,IRE,Sligo (IRE),5:30,Adare Manor Opportunity Maiden Hurdle,Hurdle,,,,5yo+,,2m2f,18f,3584,Good,13,5,1,,0,0,Kamino Bello (FR),5,G,158,,4:19.60,259.60,5.50,Conor Stone-Walsh,Gavin Cromwell,€7080,–,–,Montmartre (FR),Pasaquina (GER),Acatenango,Gavin Cromwell Racing Limited,Took keen hold - prominent - ridden to lead after 2 out - went clear run-in - comfortably(op 3/1 tchd 9/2)
2025-05-13,IRE,Sligo (IRE),5:30,Adare Manor Opportunity Maiden Hurdle,Hurdle,,,,5yo+,,2m2f,18f,3584,Good,13,10,2,,13,13,Saint Peregrine (IRE),6,G,158,,4:22.20,262.20,9.50,Liam McKenna,John Patrick Ryan,€2280,–,–,Libertarian (GB),Cosan Na Chille (IRE),Millenary,Flemington Partnership,Took keen hold - prominent - challenging 2 out - weakened from last(op 9/1 tchd 10/1)
2025-05-13,IRE,Sligo (IRE),5:30,Adare Manor Opportunity Maiden Hurdle,Hurdle,,,,5yo+,,2m2f,18f,3584,Good,13,9,3,,18,5,Parkgarve (IRE),5,G,156,ht,4:23.20,263.20,12.00,James Smith,Ian Patrick Donoghue,€1080,–,–,Shirocco (GER),Mariet GB,Dr Fong,Gary Oshaughnessy,Midfield - some headway after 2 out - kept on and went third run-in(tchd 10/1)
2025-05-13,IRE,Sligo (IRE),5:30,Adare Manor Opportunity Maiden Hurdle,Hurdle,,,,5yo+,,2m2f,18f,3584,Good,13,4,4,,18.5,.5,Faithful Follower (IRE),6,G,154,,4:23.30,263.30,1.91,Conor Clarke,Emmet Mullins,€480,–,–,Policy Maker (IRE),Thywillbedone (IRE),Holy Roman Emperor,Mrs Susan E Hennessy,Midfield - rapid headway and pressed winner after 4 out - led 3 out - headed after 2 out - soon weakened(op 13/8)
2025-05-13,IRE,Sligo (IRE),5:30,Adare Manor Opportunity Maiden Hurdle,Hurdle,,,,5yo+,,2m2f,18f,3584,Good,13,6,5,,39.5,21,Maroto (IRE),8,G,156,t,4:27.50,267.50,11.00,Dillon Maxwell,Andrew McNamara,€240,107,–,Sholokhov (IRE),Danse De Guerre (IRE),Robin Des Champs,Denis Omahony Daibheid Mchugh Desmond J Kelly,Took keen hold - prominent - outpaced before 2 out - weakened approaching last(op 11/2 tchd 5/1)
2025-05-13,IRE,Sligo (IRE),5:30,Adare Manor Opportunity Maiden Hurdle,Hurdle,,,,5yo+,,2m2f,18f,3584,Good,13,7,6,,40.75,1.25,Monnow Valley (GB),5,G,156,tp,4:27.75,267.75,151.00,Niall Moore,P Cluskey,€120,–,–,Oasis Dream (GB),Hairspray GB,Bahamian Bounty,John Eugene Mcguinness,Took keen hold - led - 4 lengths ahead 2nd - faced challenge after 4 out - headed 3 out - soon weakened(op 100/1)
2025-05-13,IRE,Sligo (IRE),5:30,Adare Manor Opportunity Maiden Hurdle,Hurdle,,,,5yo+,,2m2f,18f,3584,Good,13,8,7,,54.75,14,No Demand (IRE),6,G,156,,4:30.55,270.55,51.00,Jack G Gilligan,Darren Collins,,–,–,Gatewood (GB),Little Demand (IRE),Le Vie Dei Colori,Tmldj Syndicate,Held up in rear - outpaced before 3 out - soon no impression(op 25/1)
2025-05-13,IRE,Sligo (IRE),5:30,Adare Manor Opportunity Maiden Hurdle,Hurdle,,,,5yo+,,2m2f,18f,3584,Good,13,3,8,,87.75,33,Big Tom (IRE),6,G,156,,4:37.15,277.15,81.00,Richard Condon,Mrs Mary Whelehan,,–,–,Sageburg (IRE),Roses Emma (IRE),Milan,Mrs Mary Whelehan,Held up in rear - no impression before 3 out(tchd 66/1 and 100/1)
2025-05-13,IRE,Sligo (IRE),5:30,Adare Manor Opportunity Maiden Hurdle,Hurdle,,,,5yo+,,2m2f,18f,3584,Good,13,1,9,,88.25,.5,Patrick Street (GB),6,G,166,h,4:37.25,277.25,34.00,Gavin Brouder,Andrew Kinirons,,–,–,Heeraat (IRE),Obsessive Secret (IRE),Grand Lodge,Paul D Mulligan,Held up in rear - no impression before 3 out(op 66/1)
2025-05-13,IRE,Sligo (IRE),5:30,Adare Manor Opportunity Maiden Hurdle,Hurdle,,,,5yo+,,2m2f,18f,3584,Good,13,2,10,,91,2.75,At The Wings (IRE),5,G,158,h,4:37.80,277.80,9.00,G B Noonan,Norman Lee,,–,–,Wings Of Eagles (FR),Assidua (IRE),Anshan,Stones Homes Syndicate,In touch with leaders - weakened from 3 out(op 12/1)
